userid,floorid,coordx,coordy,timestamp,wifiinfos,orient
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068884998,00:27:19:2c:10:c4|-53;00:24:01:7a:8c:c8|-64;44:6e:e5:df:f1:a2|-76;ee:26:ca:a8:f2:f8|-72;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:a2:60|-58;d4:94:e8:21:6b:20|-55;d4:94:e8:21:0a:a0|-58;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-64;d4:94:e8:21:28:e0|-62;d4:94:e8:21:27:60|-68;d4:94:e8:21:26:e0|-60;d4:94:e8:21:27:20|-79;d4:94:e8:21:27:40|-82;d4:94:e8:21:24:c0|-79;f0:b4:29:28:f1:e7|-84;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-85;d4:94:e8:21:28:a0|-79;00:22:aa:ac:a0:34|-86;d4:94:e8:1e:af:20|-73;d4:94:e8:1e:95:c0|-73;d4:94:e8:02:27:a0|-80;d4:94:e8:21:27:a0|-75;d4:94:e8:21:67:00|-72;bc:46:99:9f:99:c6|-80;30:fc:68:d1:9a:99|-88,2.1948
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068886120,00:27:19:2c:10:c4|-59;00:24:01:7a:8c:c8|-64;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-70;d4:94:e8:21:3d:60|-44;d4:94:e8:1e:a2:60|-59;d4:94:e8:21:6b:20|-57;d4:94:e8:21:0a:a0|-57;d4:94:e8:1e:8d:00|-63;d4:94:e8:21:28:60|-64;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-68;d4:94:e8:21:26:e0|-70;d4:94:e8:21:27:40|-82;d4:94:e8:21:24:c0|-79;f0:b4:29:28:f1:e7|-87;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-85;00:22:aa:ac:a0:34|-86;d4:94:e8:1e:af:20|-74;d4:94:e8:1e:95:c0|-76;d4:94:e8:02:27:a0|-80;d4:94:e8:21:27:a0|-75;d4:94:e8:21:67:00|-72;bc:46:99:9f:99:c6|-80;30:fc:68:d1:9a:99|-88;00:06:f4:af:50:10|-81,2.1797
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068887230,00:27:19:2c:10:c4|-55;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-71;d4:94:e8:21:3d:60|-44;d4:94:e8:1e:a2:60|-57;d4:94:e8:21:6b:20|-53;d4:94:e8:21:0a:a0|-58;d4:94:e8:1e:8d:00|-64;d4:94:e8:21:28:60|-64;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-68;d4:94:e8:21:26:e0|-70;d4:94:e8:21:27:40|-82;d4:94:e8:21:24:c0|-79;f0:b4:29:28:f1:e7|-86;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-85;00:22:aa:ac:a0:34|-86;d4:94:e8:1e:af:20|-75;d4:94:e8:1e:95:c0|-76;d4:94:e8:02:27:a0|-80;d4:94:e8:21:27:a0|-75;d4:94:e8:21:67:00|-72;bc:46:99:9f:99:c6|-80;30:fc:68:d1:9a:99|-88;00:06:f4:af:50:10|-79;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-82,2.185
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068888359,00:27:19:2c:10:c4|-54;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-72;d4:94:e8:21:3d:60|-43;d4:94:e8:1e:a2:60|-59;d4:94:e8:21:6b:20|-53;d4:94:e8:21:0a:a0|-58;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-67;d4:94:e8:21:28:e0|-64;d4:94:e8:21:27:60|-68;d4:94:e8:21:26:e0|-70;d4:94:e8:21:27:40|-80;d4:94:e8:21:24:c0|-79;f0:b4:29:28:f1:e7|-85;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-85;00:22:aa:ac:a0:34|-86;d4:94:e8:1e:af:20|-75;d4:94:e8:1e:95:c0|-76;d4:94:e8:02:27:a0|-80;d4:94:e8:21:27:a0|-75;d4:94:e8:21:67:00|-72;bc:46:99:9f:99:c6|-80;30:fc:68:d1:9a:99|-88;00:06:f4:af:50:10|-80;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-82,2.1891
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068889501,00:27:19:2c:10:c4|-54;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-71;d4:94:e8:21:3d:60|-43;d4:94:e8:1e:a2:60|-61;d4:94:e8:21:6b:20|-53;d4:94:e8:21:0a:a0|-57;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-67;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-71;d4:94:e8:21:26:e0|-70;d4:94:e8:21:27:40|-80;d4:94:e8:21:24:c0|-79;f0:b4:29:28:f1:e7|-85;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-86;00:22:aa:ac:a0:34|-86;d4:94:e8:1e:af:20|-75;d4:94:e8:1e:95:c0|-76;d4:94:e8:02:27:a0|-81;d4:94:e8:21:27:a0|-75;d4:94:e8:21:67:00|-72;bc:46:99:9f:99:c6|-80;30:fc:68:d1:9a:99|-88;00:06:f4:af:50:10|-80;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-83;50:64:2b:0e:b4:1b|-85;d4:94:e8:21:28:a0|-80;d4:94:e8:21:23:a0|-80;d4:94:e8:21:66:c0|-82,2.1846
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068890617,00:27:19:2c:10:c4|-53;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-71;d4:94:e8:21:3d:60|-43;d4:94:e8:1e:a2:60|-61;d4:94:e8:21:6b:20|-52;d4:94:e8:21:0a:a0|-58;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-67;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-70;d4:94:e8:21:26:e0|-70;d4:94:e8:21:27:40|-80;d4:94:e8:21:24:c0|-79;f0:b4:29:28:f1:e7|-84;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-86;d4:94:e8:1e:af:20|-75;d4:94:e8:1e:95:c0|-76;d4:94:e8:02:27:a0|-81;d4:94:e8:21:67:00|-72;00:06:f4:af:50:10|-80;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-83;50:64:2b:0e:b4:1b|-85;d4:94:e8:21:28:a0|-80;d4:94:e8:21:23:a0|-80;d4:94:e8:21:66:c0|-82;d4:94:e8:1a:3f:e0|-75,2.1892
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068891751,00:27:19:2c:10:c4|-53;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-69;d4:94:e8:21:3d:60|-45;d4:94:e8:1e:a2:60|-59;d4:94:e8:21:6b:20|-52;d4:94:e8:21:0a:a0|-59;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-67;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-70;d4:94:e8:21:26:e0|-69;d4:94:e8:21:27:40|-79;d4:94:e8:21:24:c0|-77;f0:b4:29:28:f1:e7|-85;d4:94:e8:1e:8d:20|-68;2c:30:33:f4:6f:36|-86;d4:94:e8:1e:af:20|-75;d4:94:e8:1e:95:c0|-76;d4:94:e8:02:27:a0|-81;d4:94:e8:21:67:00|-72;00:06:f4:af:50:10|-80;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-83;50:64:2b:0e:b4:1b|-85;d4:94:e8:21:28:a0|-80;d4:94:e8:21:23:a0|-80;d4:94:e8:21:66:c0|-82;d4:94:e8:1a:3f:e0|-75;00:22:aa:ac:a0:34|-85;d4:94:e8:21:27:a0|-76,2.1909
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068892878,00:27:19:2c:10:c4|-53;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-68;d4:94:e8:21:3d:60|-45;d4:94:e8:1e:a2:60|-60;d4:94:e8:21:6b:20|-52;d4:94:e8:21:0a:a0|-59;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-67;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-68;d4:94:e8:21:26:e0|-69;d4:94:e8:21:27:40|-79;d4:94:e8:21:24:c0|-77;f0:b4:29:28:f1:e7|-86;d4:94:e8:1e:8d:20|-70;2c:30:33:f4:6f:36|-88;d4:94:e8:1e:af:20|-75;d4:94:e8:1e:95:c0|-77;d4:94:e8:02:27:a0|-81;d4:94:e8:21:67:00|-72;00:06:f4:af:50:10|-81;d4:94:e8:1e:91:00|-72;d4:94:e8:21:27:80|-83;50:64:2b:0e:b4:1b|-85;d4:94:e8:21:28:a0|-80;d4:94:e8:21:23:a0|-80;d4:94:e8:21:66:c0|-82;d4:94:e8:1a:3f:e0|-75;00:22:aa:ac:a0:34|-86;d4:94:e8:21:27:a0|-76;d4:94:e8:21:27:20|-79,2.1894
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068894081,00:27:19:2c:10:c4|-53;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-68;d4:94:e8:21:3d:60|-45;d4:94:e8:1e:a2:60|-59;d4:94:e8:21:6b:20|-52;d4:94:e8:21:0a:a0|-60;d4:94:e8:1e:8d:00|-62;d4:94:e8:21:28:60|-67;d4:94:e8:21:28:e0|-63;d4:94:e8:21:27:60|-67;d4:94:e8:21:26:e0|-69;d4:94:e8:21:27:40|-79;d4:94:e8:21:24:c0|-77;f0:b4:29:28:f1:e7|-85;d4:94:e8:1e:8d:20|-69;2c:30:33:f4:6f:36|-84;d4:94:e8:1e:af:20|-76;d4:94:e8:1e:95:c0|-77;d4:94:e8:02:27:a0|-81;00:06:f4:af:50:10|-81;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-85;50:64:2b:0e:b4:1b|-85;d4:94:e8:21:28:a0|-80;d4:94:e8:21:23:a0|-80;d4:94:e8:21:66:c0|-82;d4:94:e8:1a:3f:e0|-75;00:22:aa:ac:a0:34|-86;d4:94:e8:21:27:a0|-76;d4:94:e8:21:27:20|-79;e4:c2:d1:f4:57:e0|-74;d4:94:e8:18:0f:a0|-83,2.1865
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,0.79,1.7,1515068895161,00:27:19:2c:10:c4|-53;00:24:01:7a:8c:c8|-63;44:6e:e5:df:f1:a2|-77;ee:26:ca:a8:f2:f8|-71;d4:94:e8:21:3d:60|-44;d4:94:e8:1e:a2:60|-56;d4:94:e8:21:6b:20|-52;d4:94:e8:21:0a:a0|-60;d4:94:e8:1e:8d:00|-64;d4:94:e8:21:28:e0|-62;d4:94:e8:21:27:60|-71;d4:94:e8:21:26:e0|-69;d4:94:e8:21:27:40|-79;d4:94:e8:21:24:c0|-77;f0:b4:29:28:f1:e7|-85;d4:94:e8:1e:8d:20|-69;2c:30:33:f4:6f:36|-84;d4:94:e8:1e:af:20|-76;d4:94:e8:1e:95:c0|-77;d4:94:e8:02:27:a0|-81;00:06:f4:af:50:10|-81;d4:94:e8:1e:91:00|-75;d4:94:e8:21:27:80|-85;50:64:2b:0e:b4:1b|-86;d4:94:e8:21:28:a0|-80;d4:94:e8:21:23:a0|-80;d4:94:e8:21:66:c0|-82;d4:94:e8:1a:3f:e0|-75;00:22:aa:ac:a0:34|-86;d4:94:e8:21:27:a0|-76;d4:94:e8:21:27:20|-81;e4:c2:d1:f4:57:e0|-74;d4:94:e8:18:0f:a0|-83,2.1901
