X(m),Y(m),EX(m),EY(m)
1.2,7.85,1.11411173451,7.48005105039
1.2,7.85,1.44290667653,6.77748807683
1.2,7.85,1.95066743307,9.64911055763
1.2,6.05,1.31908723614,6.22316625574
1.2,6.05,1.31315600304,5.62132155239
1.2,6.05,1.45414185322,6.27314726373
1.2,4.25,1.6,3.43544076701
1.2,4.25,1.6,3.44519800851
1.2,4.25,1.4527564742,3.73228074786
1.2,2.45,1.33323645027,1.7
1.2,2.45,1.3090138362,1.7
1.2,2.45,1.2962592289,1.7
1.2,2.45,1.07128895004,2.82391341177
1.2,2.45,1.07443908001,2.8681847142
1.2,2.45,0.944571812061,3.20958268667
1.2,4.25,1.13135191542,3.88415527304
1.2,4.25,0.939430485072,3.40403091445
1.2,4.25,0.936425655306,4.06534592721
1.2,6.05,1.23547964716,5.71448891219
1.2,6.05,1.10625266104,6.38199646385
1.2,6.05,1.27288183017,6.73989830875
1.2,7.85,1.31753986908,7.23268027606
1.2,7.85,1.3185835336,7.30245435035
1.2,7.85,1.31389855123,7.28314533678
