Time(ms),Time(s),acce_x,acce_y,acce_z
1499000675733, 22753.072618409, 0.01373291, 1.2229004, 10.162628
1499000675753, 22753.092790528, -0.025497437, 1.1640625, 10.162628
1499000675774, 22753.112901612003, 0.033340454, 1.1640625, 9.868423
1499000675795, 22753.133073731, 0.092178345, 1.2032928, 9.613449
1499000675814, 22753.153154298, 0.15101624, 1.2817383, 9.535004
1499000675835, 22753.173753663003, 0.20986938, 1.2032928, 9.613449
1499000675855, 22753.193468018002, 0.11180115, 1.2032928, 9.554611
1499000675875, 22753.21360962, 0.092178345, 1.1640625, 9.535004
1499000675896, 22753.233781739, 0.092178345, 1.1640625, 9.554611
1499000675915, 22753.253923341003, 0.092178345, 1.144455, 9.574234
1499000675935, 22753.274034425, -0.0058898926, 1.1248322, 9.554611
1499000675956, 22753.294176026, -0.0058898926, 1.1640625, 9.750748
1499000675979, 22753.314348145002, 0.01373291, 1.144455, 9.927261
1499000675997, 22753.334489747, -0.04510498, 1.1640625, 10.005722
1499000676016, 22753.354597731002, -0.06472778, 1.1640625, 10.044952
1499000676036, 22753.37476985, -0.025497437, 1.18367, 9.966492
1499000676056, 22753.394911452, -0.04510498, 1.2229004, 9.927261
1499000676078, 22753.415053053002, 0.033340454, 1.2817383, 9.907654
1499000676097, 22753.435164137, 0.15101624, 1.2425232, 9.809586
1499000676116, 22753.455336256, 0.17063904, 1.2621307, 9.73114
1499000676137, 22753.475477858003, 0.11180115, 1.2621307, 9.633072
1499000676158, 22753.495619459, 0.01373291, 1.2229004, 9.593842
1499000676177, 22753.515730543, -0.04510498, 1.2229004, 9.633072
1499000676198, 22753.535902663003, -0.20201111, 1.18367, 9.750748
1499000676239, 22753.556044264, -0.30007935, 1.1640625, 9.907654
1499000676240, 22753.576155348, -0.24124146, 1.0856171, 9.848816
1499000676258, 22753.596327467003, -0.20201111, 1.0856171, 9.829208
1499000676279, 22753.616438551002, -0.18240356, 1.144455, 9.868423
1499000676299, 22753.636641188, -0.08433533, 1.1052246, 9.966492
1499000676319, 22753.656752272, -0.025497437, 1.0659943, 9.966492
1499000676340, 22753.676863356002, 0.11180115, 1.1248322, 9.907654
1499000676359, 22753.697004957, 0.0725708, 1.0856171, 9.829208
1499000676379, 22753.717146559, 0.033340454, 1.1248322, 9.770355
1499000676400, 22753.737288161003, 0.052947998, 1.1052246, 9.652679
1499000676419, 22753.757429762, 0.092178345, 1.1052246, 9.652679
1499000676439, 22753.777601881, 0.052947998, 1.0659943, 9.672302
1499000676459, 22753.797712965003, 0.01373291, 1.0463867, 9.789978
1499000676479, 22753.817885084, -0.025497437, 1.1248322, 9.69191
1499000676500, 22753.837996168, 0.01373291, 1.2621307, 9.672302
1499000676520, 22753.858198805003, -0.025497437, 1.2817383, 9.633072
1499000676540, 22753.878309889, -0.08433533, 1.2621307, 9.69191
1499000676560, 22753.898420973, -0.20201111, 1.2229004, 9.750748
1499000676581, 22753.918593092003, -0.08433533, 1.2621307, 9.868423
1499000676602, 22753.938704176002, 0.15101624, 1.1640625, 10.06456
1499000676621, 22753.958876295, 0.24908447, 1.0267639, 10.162628
1499000676641, 22753.978987379003, 0.22947693, 0.85025024, 10.2018585
1499000676661, 22753.999128981002, 0.17063904, 0.8698578, 10.005722
1499000676681, 22754.0193011, 0.0725708, 0.90908813, 9.73114
1499000676702, 22754.039412184, -0.08433533, 0.85025024, 9.613449
1499000676753, 22754.059584303002, -0.24124146, 0.752182, 9.789978
1499000676754, 22754.079695387, -0.30007935, 0.752182, 9.770355
1499000676761, 22754.099836989, -0.3393097, 0.8306427, 9.652679
1499000676782, 22754.119978590003, -0.31970215, 0.85025024, 9.633072
1499000676804, 22754.140150709, -0.20201111, 0.9286957, 9.750748
1499000676823, 22754.160261793, -0.16279602, 0.967926, 9.809586
1499000676843, 22754.180403395003, -0.06472778, 1.0463867, 9.750748
1499000676863, 22754.200575514, 0.0725708, 1.1052246, 9.809586
1499000676884, 22754.220686598, 0.11180115, 1.1052246, 9.888046
1499000676905, 22754.240858717003, 0.19024658, 1.1052246, 9.966492
1499000676924, 22754.260969801002, 0.19024658, 1.144455, 9.888046
1499000676944, 22754.281111403, 0.17063904, 1.18367, 9.888046
1499000676966, 22754.301283522, 0.15101624, 1.2425232, 9.888046
1499000676985, 22754.321394606002, 0.13140869, 1.1640625, 9.829208
1499000677005, 22754.341536207, 0.13140869, 1.1248322, 9.73114
1499000677024, 22754.361708327, 0.0725708, 1.0463867, 9.789978
1499000677045, 22754.381819411003, 0.033340454, 1.0071564, 9.868423
1499000677066, 22754.40199153, 0.033340454, 1.0659943, 9.809586
1499000677085, 22754.422102614, 0.01373291, 1.1052246, 9.73114
1499000677106, 22754.442274733003, 0.092178345, 1.144455, 9.73114
1499000677128, 22754.462416334, 0.0725708, 1.1052246, 9.69191
1499000677146, 22754.482527418, -0.04510498, 1.144455, 9.750748
1499000677166, 22754.502699538003, -0.0058898926, 1.18367, 9.73114
1499000677186, 22754.522810622002, 0.052947998, 1.2032928, 9.829208
1499000677241, 22754.542982741, 0.01373291, 1.2229004, 9.829208
1499000677242, 22754.563124342003, 0.052947998, 1.2229004, 9.809586
1499000677245, 22754.583235426002, 0.092178345, 1.2425232, 9.829208
1499000677265, 22754.603407545, 0.01373291, 1.2425232, 9.789978
1499000677285, 22754.623518629003, -0.0058898926, 1.2032928, 9.829208
1499000677306, 22754.643690748002, -0.04510498, 1.2032928, 9.848816
1499000677325, 22754.66383235, -0.04510498, 1.18367, 9.868423
1499000677346, 22754.683943434, -0.10395813, 1.1248322, 9.809586
1499000677366, 22754.704115553002, -0.025497437, 1.18367, 9.770355
1499000677385, 22754.724226637, -0.06472778, 1.1640625, 9.750748
1499000677407, 22754.744398756, -0.025497437, 1.1640625, 9.711517
1499000677426, 22754.764540358003, 0.092178345, 1.2032928, 9.789978
1499000677446, 22754.784651442, 0.11180115, 1.2032928, 9.809586
1499000677467, 22754.804823561, 0.052947998, 1.1640625, 9.848816
1499000677486, 22754.824934645003, -0.025497437, 1.1640625, 9.868423
1499000677508, 22754.845106764, -0.0058898926, 1.1052246, 9.888046
1499000677526, 22754.865217848, -0.06472778, 1.0463867, 9.868423
1499000677547, 22754.88535945, -0.04510498, 1.0659943, 9.770355
1499000677567, 22754.905501051002, -0.08433533, 1.0659943, 9.73114
1499000677588, 22754.92567317, -0.08433533, 1.0267639, 9.829208
1499000677608, 22754.945784254003, -0.10395813, 1.0267639, 9.848816
1499000677627, 22754.965956373002, -0.04510498, 1.0856171, 9.829208
1499000677647, 22754.986097975, -0.04510498, 1.0856171, 9.750748
1499000677667, 22755.006239577, -0.08433533, 1.0659943, 9.672302
1499000677688, 22755.026381178002, -0.06472778, 1.1052246, 9.652679
1499000677719, 22755.046492262, -0.08433533, 1.1640625, 9.789978
1499000677728, 22755.066664381, -0.06472778, 1.1248322, 9.73114
1499000677748, 22755.086775465003, -0.04510498, 1.18367, 9.672302
1499000677768, 22755.106947584, 0.052947998, 1.2425232, 9.672302
1499000677788, 22755.127058668, 0.13140869, 1.2817383, 9.652679
1499000677810, 22755.147230788003, 0.17063904, 1.360199, 9.633072
