EX(m),EY(m)
0.0,0.0
0.052,0.76
0.119,1.519
0.193,2.278
0.245,3.038
0.294,3.798
0.334,4.559
0.393,5.319
0.444,6.079
0.497,6.839
0.537,7.6
0.591,8.36
0.687,9.116
0.887,9.851
1.266,10.512
1.933,10.88
2.685,11.004
3.447,10.993
4.207,10.943
4.962,10.836
5.716,10.732
6.469,10.615
7.216,10.461
7.959,10.296
8.704,10.133
9.443,9.949
10.189,9.791
10.941,9.671
11.698,9.582
12.456,9.505
13.209,9.391
13.958,9.251
14.698,9.067
15.356,8.683
15.468,7.929
14.788,7.585
14.027,7.609
13.272,7.711
12.512,7.77
11.754,7.848
11.0,7.958
10.26,8.138
9.602,8.524
9.241,9.195
9.19,9.955
9.296,10.709
9.541,11.431
10.075,11.975
10.809,12.178
11.571,12.151
12.327,12.06
13.082,11.954
13.842,11.892
14.601,11.826
15.36,11.763
16.118,11.685
16.872,11.577
