Time(ms),Time(s),gyro_x,gyro_y,gyro_z
1499000675956, 22753.29451172, 0.0023956299, 0.01991272, -0.003692627
1499000675979, 22753.314653321002, -0.10786438, 0.04283142, 0.01020813
1499000675997, 22753.33482544, -0.10984802, 0.03213501, 0.0034942627
1499000676017, 22753.354933424, -0.061431885, 0.031982422, -0.002319336
1499000676036, 22753.375075026, -0.040359497, 0.06175232, 0.0135650635
1499000676056, 22753.395216627003, -0.030593872, 0.04374695, 0.011123657
1499000676078, 22753.415358229002, -0.004928589, -0.01902771, -0.004760742
1499000676097, 22753.435469313, 0.011260986, -0.01550293, -0.032089233
1499000676117, 22753.455641432003, 0.005142212, 0.03152466, -0.049346924
1499000676138, 22753.475783034002, -0.029067993, 0.03564453, -0.06355286
1499000676158, 22753.495924635, -0.05105591, 0.03289795, -0.07606506
1499000676177, 22753.516035719, -0.059753418, 0.028015137, -0.08050537
1499000676198, 22753.536207838002, -0.082351685, 0.027404785, -0.0655365
1499000676239, 22753.55634944, -0.09197998, -0.006652832, -0.03147888
1499000676240, 22753.576460524, -0.049224854, -0.0013122559, -0.013305664
1499000676258, 22753.596632643003, -0.021728516, 0.024963379, -0.02659607
1499000676279, 22753.616743727, -0.043563843, 0.011367798, -0.023391724
1499000676299, 22753.636946364, -0.044326782, 0.0049591064, -0.0140686035
1499000676319, 22753.657057448003, -0.005996704, 0.017318726, -0.019866943
1499000676340, 22753.677168532, 0.022094727, 0.021896362, -0.04171753
1499000676359, 22753.697310133, 0.01889038, 0.020843506, -0.070877075
1499000676379, 22753.717482252003, -0.0038604736, 0.0029754639, -0.06690979
1499000676400, 22753.737623854002, 0.0057525635, -0.04147339, -0.065078735
1499000676420, 22753.757765455, 0.021026611, -0.050323486, -0.07118225
1499000676439, 22753.777907057003, -0.009506226, -0.014129639, -0.06263733
1499000676459, 22753.798048659002, -0.046325684, -0.022994995, -0.044769287
1499000676479, 22753.81819026, -0.03883362, -0.049560547, -0.021850586
1499000676500, 22753.838301344, -0.0069122314, -0.02619934, -0.044158936
1499000676520, 22753.858503981002, -0.020202637, -0.01902771, -0.07270813
1499000676540, 22753.878615065, -0.04447937, -0.045898438, -0.08569336
1499000676560, 22753.898756666, -0.027679443, -0.09660339, -0.06568909
1499000676581, 22753.918898268003, -0.030593872, -0.10499573, -0.057281494
1499000676602, 22753.939009352, -0.046325684, -0.04498291, -0.065841675
1499000676621, 22753.959211989, -0.07533264, 0.07260132, -0.121276855
1499000676641, 22753.979292555003, -0.049224854, 0.103302, -0.15272522
1499000676661, 22753.999464674, 0.04423523, 0.0015869141, -0.1530304
1499000676681, 22754.019606276, 0.13342285, 0.015182495, -0.14967346
1499000676703, 22754.039747877003, 0.07875061, 0.053207397, -0.13502502
1499000676753, 22754.059889479002, -0.016082764, 0.019302368, -0.086761475
1499000676754, 22754.08003108, -0.009811401, -0.016418457, -0.02507019
1499000676762, 22754.100172682003, 0.04789734, -0.036117554, 0.021972656
1499000676782, 22754.120314284002, 0.037979126, -0.05506897, 0.037841797
1499000676805, 22754.140455885, 0.02178955, -0.06452942, 0.049453735
1499000676824, 22754.160597487, -0.014556885, -0.046051025, 0.062286377
1499000676845, 22754.180708571002, -0.003250122, -0.08529663, 0.06777954
1499000676864, 22754.20088069, 0.020721436, -0.026657104, 0.043655396
1499000676884, 22754.221022291, -0.021575928, 0.01991272, 0.032958984
1499000676905, 22754.241163893003, -0.05303955, -0.018112183, 0.001663208
1499000676925, 22754.261305495, 0.0054473877, -0.0075683594, -0.024459839
1499000676944, 22754.281447096, 0.022705078, 0.04222107, -0.044006348
1499000676966, 22754.301588698003, -0.020812988, 0.008773804, -0.057128906
