X(m),Y(m)
0.000, 0.000
0.000, 0.717
0.000, 1.433
0.000, 2.150
0.000, 2.867
0.000, 3.583
0.000, 4.300
0.000, 5.017
0.000, 5.733
0.000, 6.450
0.000, 7.167
0.000, 7.883
0.000, 8.600
0.000, 9.317
0.000, 10.033
0.000, 10.750
0.737, 10.750
1.473, 10.750
2.210, 10.750
2.947, 10.750
3.683, 10.750
4.420, 10.750
5.157, 10.750
5.893, 10.750
6.630, 10.750
7.367, 10.750
8.103, 10.750
8.840, 10.750
9.577, 10.750
10.313, 10.750
11.050, 10.750
11.787, 10.750
12.523, 10.750
13.260, 10.750
13.260, 10.750
12.860, 10.750
12.488, 10.750
11.715, 10.750
10.942, 10.750
10.170, 10.750
9.398, 10.750
8.625, 10.750
7.853, 10.750
7.080, 10.750
7.080, 11.562
7.080, 12.375
7.080, 13.188
7.080, 14.000
7.767, 14.000
8.453, 14.000
9.140, 14.000
9.827, 14.000
10.513, 14.000
11.200, 14.000
11.887, 14.000
12.573, 14.000
13.260, 14.000


