Time(ms),Time(s),acce_x,acce_y,acce_z
1499429595287, 294508.929011991, 0.9355469, 2.007431, 10.162628
1499429595308, 294508.949123075, 1.0728455, 2.0466614, 9.9861145
1499429595328, 294508.969264677, 1.092453, 2.0466614, 9.593842
1499429595348, 294508.989864042, 0.9355469, 1.9878235, 9.35849
1499429595367, 294509.00954788004, 0.7590332, 1.8505249, 9.397705
1499429595388, 294509.029689481, 0.58251953, 1.6543884, 9.69191
1499429595407, 294509.04983108304, 0.3667755, 1.4974823, 9.809586
1499429595428, 294509.069972684, 0.24908447, 1.4190369, 9.770355
1499429595448, 294509.090114286, 0.30792236, 1.4778748, 9.829208
1499429595468, 294509.110255888, 0.38638306, 1.4974823, 9.868423
1499429595489, 294509.130397489, 0.4648285, 1.6151733, 9.770355
1499429595508, 294509.150569608, 0.5432892, 1.8112946, 9.69191
1499429595529, 294509.170680692, 0.6413574, 1.9093628, 9.554611
1499429595548, 294509.19082229404, 0.66096497, 1.8701477, 9.515396
1499429595568, 294509.210963895, 0.5432892, 1.8112946, 9.633072
1499429595589, 294509.231105497, 0.38638306, 1.6936188, 9.69191
1499429595611, 294509.251247099, 0.30792236, 1.575943, 9.750748
1499429595629, 294509.2713887, 0.26870728, 1.575943, 9.672302
1499429595649, 294509.291530302, 0.22947693, 1.5367126, 9.770355
1499429595669, 294509.311671903, 0.26870728, 1.5563354, 9.848816
1499429595690, 294509.33184402203, 0.22947693, 1.4582672, 9.907654
1499429595710, 294509.351955106, 0.15101624, 1.4974823, 9.770355
1499429595730, 294509.37209670804, 0.0725708, 1.5563354, 9.69191
1499429595750, 294509.392238309, 0.033340454, 1.575943, 9.770355
1499429595770, 294509.412379911, 0.11180115, 1.5563354, 9.888046
1499429595791, 294509.432521513, 0.13140869, 1.5563354, 9.966492
1499429595810, 294509.452663114, 0.22947693, 1.5563354, 9.927261
1499429595831, 294509.47280471603, 0.26870728, 1.5955505, 9.770355
1499429595851, 294509.492946317, 0.32754517, 1.575943, 9.593842
1499429595871, 294509.51308791904, 0.3471527, 1.4778748, 9.593842
1499429595892, 294509.53322952, 0.44522095, 1.3405762, 9.711517
1499429595912, 294509.553371122, 0.6413574, 1.144455, 9.927261
1499429595932, 294509.573543241, 0.8178711, 1.1248322, 9.946884
1499429595952, 294509.593654325, 0.79826355, 1.3209686, 9.69191
1499429595972, 294509.613795927, 0.5628967, 1.5171051, 9.456543
1499429595993, 294509.633937528, 0.13140869, 1.6151733, 9.260422
1499429596012, 294509.65407913004, -0.3393097, 1.6740112, 9.181961
1499429596032, 294509.674220731, -0.6138916, 1.6543884, 9.31926
1499429596052, 294509.69436233304, -0.71195984, 1.5367126, 9.711517
1499429596073, 294509.714534452, -0.53544617, 1.3994293, 10.260696
1499429596093, 294509.734645536, -0.10395813, 1.2229004, 10.672577
1499429596113, 294509.754817655, 0.3667755, 1.1052246, 10.947159
1499429596133, 294509.77495925705, 0.77864075, 1.0267639, 10.790253
1499429596153, 294509.795100858, 0.8963318, 1.1052246, 10.378372
1499429596173, 294509.81524246, 0.9355469, 1.1640625, 10.044952
1499429596194, 294509.83535354404, 0.77864075, 1.144455, 9.672302
1499429596214, 294509.855525663, 0.5628967, 1.1248322, 9.515396
1499429596234, 294509.875636747, 0.50405884, 1.0856171, 9.574234
1499429596254, 294509.895808866, 0.4059906, 1.144455, 9.535004
1499429596274, 294509.91591995, 0.4844513, 1.18367, 9.554611
1499429596299, 294509.936092069, 0.6021271, 1.3013611, 9.69191
1499429596315, 294509.956233671, 0.66096497, 1.3209686, 9.809586
1499429596335, 294509.97637527203, 0.71980286, 1.5563354, 9.789978
1499429596355, 294509.996486356, 0.876709, 1.6543884, 9.829208
1499429596375, 294510.01662795804, 0.8178711, 1.6936188, 9.946884
1499429596397, 294510.036800077, 0.68058777, 1.5955505, 10.06456
1499429596415, 294510.05694167904, 0.44522095, 1.3994293, 10.10379
1499429596435, 294510.07708328, 0.30792236, 1.2817383, 10.10379
1499429596458, 294510.09722488205, 0.19024658, 1.2621307, 9.9861145
1499429596475, 294510.117366483, 0.22947693, 1.2425232, 9.809586
1499429596496, 294510.137477567, 0.4059906, 1.2817383, 9.73114
1499429596516, 294510.15764968604, 0.4059906, 1.2817383, 9.672302
1499429596536, 294510.17776077, 0.58251953, 1.3209686, 9.711517
1499429596556, 294510.197902372, 0.6413574, 1.3994293, 9.672302
1499429596576, 294510.218043974, 0.68058777, 1.4582672, 9.652679
1499429596600, 294510.238185575, 0.77864075, 1.4190369, 9.652679
1499429596616, 294510.258327177, 0.77864075, 1.4190369, 9.73114
1499429596637, 294510.278499296, 0.71980286, 1.3994293, 9.809586
1499429596657, 294510.29864089703, 0.6413574, 1.3994293, 9.770355
1499429596677, 294510.318782499, 0.44522095, 1.4190369, 9.73114
1499429596698, 294510.33892410004, 0.30792236, 1.3994293, 9.574234
1499429596717, 294510.359065702, 0.20986938, 1.3405762, 9.535004
1499429596739, 294510.379176786, 0.15101624, 1.2817383, 9.750748
1499429596758, 294510.399318388, 0.11180115, 1.1640625, 9.907654
1499429596779, 294510.41949050705, 0.11180115, 1.1640625, 9.966492
1499429596799, 294510.439632108, 0.22947693, 1.3013611, 10.005722
1499429596818, 294510.45977371, 0.3471527, 1.4190369, 10.2018585
1499429596838, 294510.47991531104, 0.52368164, 1.5563354, 10.221466
1499429596858, 294510.500056913, 0.6217346, 1.6347809, 10.123398
1499429596881, 294510.52019851503, 0.5628967, 1.6347809, 10.0841675
1499429596899, 294510.540340116, 0.50405884, 1.4974823, 9.829208
1499429596920, 294510.56048171804, 0.4844513, 1.4386444, 9.711517
1499429596941, 294510.580623319, 0.4059906, 1.360199, 9.672302
1499429596959, 294510.600764921, 0.4059906, 1.2817383, 9.73114
1499429596979, 294510.62090652203, 0.50405884, 1.3013611, 9.652679
1499429597000, 294510.641048124, 0.5628967, 1.3994293, 9.593842
1499429597019, 294510.66118972504, 0.58251953, 1.4778748, 9.495773
1499429597039, 294510.681300809, 0.6217346, 1.5367126, 9.515396
1499429597059, 294510.701442411, 0.5432892, 1.5171051, 9.633072
1499429597080, 294510.721584013, 0.52368164, 1.4582672, 9.750748
1499429597100, 294510.741725614, 0.50405884, 1.3405762, 9.946884
1499429597120, 294510.761897733, 0.50405884, 1.4190369, 10.005722
1499429597140, 294510.782039335, 0.5432892, 1.3405762, 10.044952
1499429597160, 294510.80215041904, 0.4648285, 1.2621307, 10.02533
1499429597180, 294510.82229202, 0.4256134, 1.2817383, 9.848816
1499429597201, 294510.84246414003, 0.4256134, 1.3013611, 9.848816
1499429597222, 294510.862575224, 0.50405884, 1.360199, 9.809586
1499429597240, 294510.882716825, 0.52368164, 1.3798065, 9.966492
1499429597261, 294510.902858427, 0.6217346, 1.3994293, 9.9861145
1499429597281, 294510.923030546, 0.7001953, 1.3994293, 9.888046
1499429597301, 294510.94314163004, 0.71980286, 1.3798065, 9.829208
1499429597321, 294510.963313749, 0.68058777, 1.3798065, 9.73114
1499429597341, 294510.98345535004, 0.6217346, 1.4386444, 9.633072
1499429597361, 294511.003596952, 0.58251953, 1.3994293, 9.535004
1499429597382, 294511.02373855404, 0.52368164, 1.360199, 9.535004
1499429597403, 294511.043849638, 0.5432892, 1.3994293, 9.633072
1499429597422, 294511.06402175705, 0.5628967, 1.4386444, 9.829208
1499429597442, 294511.084163358, 0.5432892, 1.3798065, 9.907654
1499429597462, 294511.104274442, 0.4844513, 1.3405762, 9.966492
1499429597482, 294511.12441604404, 0.50405884, 1.3798065, 9.966492
1499429597503, 294511.144588163, 0.4844513, 1.3405762, 9.927261
1499429597523, 294511.164699247, 0.4844513, 1.3798065, 9.868423
1499429597543, 294511.184871366, 0.4648285, 1.3994293, 9.652679
1499429597563, 294511.20498245, 0.4648285, 1.3798065, 9.593842
1499429597583, 294511.225154569, 0.44522095, 1.4386444, 9.652679
1499429597604, 294511.245296171, 0.4844513, 1.3798065, 9.73114
1499429597623, 294511.26543777203, 0.4059906, 1.3994293, 9.770355
1499429597644, 294511.285579374, 0.38638306, 1.4582672, 9.73114
1499429597664, 294511.30572097504, 0.4648285, 1.4778748, 9.69191
1499429597684, 294511.325862577, 0.4648285, 1.5563354, 9.672302
1499429597704, 294511.34600417904, 0.4648285, 1.5171051, 9.770355
1499429597724, 294511.36614578, 0.44522095, 1.4582672, 9.946884
1499429597744, 294511.38628738205, 0.4844513, 1.4582672, 10.005722
1499429597764, 294511.406428983, 0.5432892, 1.4190369, 9.9861145
