EX(m),EY(m)
1.2,1.7
1.16,2.437
1.134,3.175
1.114,3.914
1.104,4.652
1.076,5.39
1.068,6.128
1.053,6.866
1.067,7.605
1.04,8.343
1.057,9.081
1.093,9.819
1.367,10.504
2.027,10.837
2.762,10.902
3.5,10.932
4.238,10.936
4.976,10.974
5.714,11.0
6.451,11.046
7.188,11.086
7.925,11.14
8.661,11.196
9.397,11.25
10.133,11.314
10.864,11.422
11.597,11.507
12.332,11.582
13.069,11.618
13.806,11.671
14.543,11.719
15.279,11.781
16.015,11.831
16.75,11.904
17.487,11.951
18.223,12.016
18.961,12.04
19.698,12.084
20.435,12.126
21.171,12.184
21.909,12.221
22.646,12.264
23.384,12.293
24.119,12.358
24.857,12.391
25.594,12.434
26.333,12.441
27.069,12.491
27.806,12.549
28.542,12.608
29.28,12.638
30.016,12.685
30.754,12.718
31.491,12.761
32.229,12.805
32.965,12.863
33.702,12.897
34.438,12.955
35.177,12.96
35.915,12.988
36.653,12.994
37.391,13.016
38.13,13.023
38.868,13.046
39.606,13.061
40.344,13.085
41.082,13.11
41.818,13.168
42.556,13.202
43.293,13.251
44.03,13.287
44.768,13.33
45.505,13.358
46.243,13.391
46.981,13.421
47.71,13.538
48.348,13.91
48.585,14.609
48.627,15.346
48.581,16.084
48.549,16.821
48.518,17.559
48.506,18.297
48.459,19.034
48.415,19.771
48.355,20.507
48.306,21.244
48.236,21.979
48.193,22.717
48.133,23.453
48.089,24.19
48.027,24.926
47.979,25.662
47.908,26.397
47.832,27.132
47.729,27.863
47.664,28.599
47.581,29.333
47.517,30.068
47.444,30.803
47.379,31.539
47.295,32.272
47.229,33.008
47.096,33.734
46.988,34.465
46.886,35.196
46.808,35.93
46.688,36.659
46.605,37.393
46.503,38.124
46.424,38.858
46.321,39.589
46.229,40.322
46.142,41.056
46.057,41.789
45.931,42.517
45.827,43.248
45.74,43.981
45.826,44.714
46.424,45.147
46.943,44.622
47.054,43.892
47.116,43.156
47.204,42.423
47.281,41.688
47.375,40.956
47.463,40.223
47.572,39.492
47.675,38.761
47.787,38.031
47.886,37.299
47.988,36.568
48.069,35.834
48.147,35.1
48.239,34.367
48.345,33.636
48.437,32.904
48.54,32.172
48.655,31.443
48.77,30.714
48.839,29.978
48.944,29.247
49.036,28.515
49.172,27.789
49.272,27.057
49.395,26.329
49.482,25.596
49.602,24.867
49.722,24.139
49.866,23.414
50.006,22.689
50.141,21.963
50.264,21.235
50.411,20.512
50.538,19.784
50.664,19.057
50.764,18.325
50.857,17.592
50.944,16.859
51.06,16.13
51.125,15.394
51.064,14.658
50.605,14.08
49.988,13.673
49.28,13.465
48.568,13.268
47.841,13.138
47.11,13.038
46.379,12.932
45.655,12.786
44.931,12.639
44.212,12.473
43.489,12.322
42.772,12.144
42.049,11.995
41.329,11.831
40.602,11.699
39.877,11.561
39.149,11.435
38.425,11.289
37.697,11.168
36.973,11.024
36.249,10.878
35.529,10.712
34.802,10.584
34.078,10.438
33.352,10.304
32.628,10.16
31.896,10.061
31.169,9.93
30.444,9.789
29.723,9.631
28.995,9.505
28.271,9.361
27.545,9.226
26.823,9.071
26.098,8.932
25.375,8.779
24.65,8.643
23.93,8.477
23.211,8.311
22.489,8.153
21.764,8.015
21.045,7.847
20.321,7.7
19.604,7.523
18.881,7.371
18.165,7.193
17.446,7.022
16.732,6.836
16.015,6.659
15.302,6.466
14.578,6.323
13.859,6.152
13.139,5.991
12.424,5.805
11.707,5.63
10.994,5.437
10.272,5.279
9.556,5.099
8.841,4.914
8.131,4.712
7.418,4.522
6.713,4.301
6.007,4.086
5.307,3.85
4.659,3.496
4.292,2.855
4.247,2.118
4.371,1.39
4.519,0.666
4.693,-0.051
4.869,-0.768
5.052,-1.484
5.23,-2.201
5.45,-2.905
5.657,-3.614
5.894,-4.314
6.106,-5.021
6.344,-5.72
6.509,-6.44
