EX(m),EY(m)
1.4,1.869
1.333,2.603
1.303,3.338
1.246,4.073
1.215,4.809
1.193,5.545
1.207,6.281
1.192,7.018
1.203,7.754
1.198,8.49
1.2,9.227
1.2,9.963
1.2,10.7
1.937,10.7
2.673,10.7
3.41,10.701
4.146,10.68
4.879,10.746
5.614,10.789
6.346,10.872
7.08,10.932
7.815,10.989
8.55,11.022
9.284,11.093
10.019,11.129
10.753,11.187
11.488,11.24
12.219,11.325
12.954,11.376
13.688,11.442
14.423,11.489
15.155,11.566
15.889,11.633
16.621,11.714
17.355,11.767
18.089,11.826
18.825,11.864
19.558,11.932
20.293,11.987
21.028,12.028
21.764,12.061
22.499,12.109
23.235,12.137
23.97,12.177
24.707,12.191
27.718,11.11
28.454,11.076
29.19,11.058
29.925,11.023
30.662,11.014
31.397,10.973
32.134,10.965
32.869,10.926
33.606,10.921
34.342,10.901
35.078,10.891
35.814,10.856
36.55,10.845
37.286,10.814
38.022,10.783
38.757,10.734
39.494,10.735
40.229,10.7
40.966,10.69
41.702,10.677
42.438,10.664
43.175,10.661
43.911,10.693
44.647,10.681
45.384,10.67
46.119,10.631
46.855,10.648
47.592,10.655
48.327,10.7
49.063,10.7
49.8,10.7
49.8,11.437
49.8,12.173
49.78,12.909
49.742,13.645
49.739,14.381
49.701,15.117
49.674,15.853
49.634,16.588
49.618,17.325
49.589,18.06
49.6,18.797
49.58,19.533
49.541,20.269
49.473,21.002
49.423,21.737
49.324,22.467
49.258,23.2
49.178,23.932
49.128,24.667
49.078,25.402
49.052,26.138
48.985,26.871
48.948,27.607
48.899,28.342
48.867,29.078
48.803,29.811
48.743,30.545
48.656,31.277
48.562,32.007
48.46,32.737
48.361,33.466
48.244,34.194
48.152,34.924
48.043,35.653
47.931,36.381
47.825,37.109
47.729,37.84
47.603,38.565
47.507,39.295
47.389,40.022
47.338,40.757
47.641,41.429
48.128,40.876
48.375,40.182
48.481,39.454
48.562,38.722
48.609,37.987
48.68,37.253
48.758,36.521
48.876,35.794
48.977,35.065
49.094,34.337
49.159,33.604
49.275,32.876
49.366,32.146
49.471,31.417
49.546,30.684
49.663,29.957
49.76,29.227
49.912,28.506
50.029,27.779
50.173,27.057
50.267,26.326
50.394,25.601
50.499,24.872
48.677,25.378
48.708,24.642
48.776,23.908
48.812,23.173
48.882,22.44
48.917,21.704
48.988,20.971
49.048,20.237
49.143,19.506
49.173,18.771
49.26,18.039
49.33,17.306
49.403,16.573
49.448,15.838
49.534,15.107
49.589,14.372
49.672,13.64
49.728,12.906
49.8,12.173
49.8,11.437
49.8,10.7
49.063,10.7
48.327,10.7
47.591,10.695
46.854,10.674
46.118,10.683
45.382,10.664
44.646,10.638
43.913,10.566
43.177,10.528
42.444,10.461
41.708,10.42
40.974,10.365
40.238,10.347
39.504,10.277
38.771,10.212
38.038,10.14
37.304,10.08
36.574,9.98
35.843,9.889
35.111,9.806
34.377,9.754
33.642,9.701
32.906,9.685
32.171,9.633
31.436,9.591
30.703,9.517
29.967,9.491
29.233,9.433
28.497,9.405
27.762,9.349
27.026,9.321
26.292,9.268
23.998,11.792
23.264,11.73
22.528,11.705
21.793,11.655
21.058,11.612
20.323,11.553
19.587,11.533
18.851,11.524
18.115,11.505
17.379,11.474
16.643,11.451
15.907,11.416
15.171,11.4
14.434,11.379
13.698,11.366
12.963,11.311
12.227,11.283
11.493,11.233
10.757,11.209
10.024,11.133
9.288,11.098
8.554,11.04
7.818,11.008
7.083,10.963
6.347,10.939
5.612,10.889
4.876,10.86
4.143,10.796
3.407,10.762
2.673,10.7
1.937,10.7
1.2,10.7
1.2,9.963
1.2,9.227
1.224,8.491
1.278,7.756
1.332,7.022
1.387,6.287
1.445,5.553
1.517,4.82
1.56,4.085
1.635,3.352
1.669,2.617
1.735,1.883
1.712,1.147
