EX(m),EY(m)
1.2,1.7
1.118,2.432
1.074,3.167
1.004,3.9
0.959,4.635
0.922,5.371
0.922,6.107
0.893,6.843
0.89,7.58
0.871,8.316
0.858,9.053
0.873,9.789
1.167,10.464
1.836,10.772
2.572,10.755
3.309,10.735
4.044,10.693
4.779,10.738
5.515,10.761
6.249,10.822
6.985,10.861
7.72,10.897
8.457,10.908
9.191,10.959
9.928,10.974
10.663,11.01
11.399,11.043
12.133,11.107
12.869,11.137
13.604,11.182
14.34,11.208
15.074,11.264
15.809,11.31
16.544,11.369
17.279,11.402
18.015,11.44
18.751,11.456
19.486,11.504
20.222,11.537
20.958,11.557
21.695,11.569
22.431,11.596
23.167,11.603
23.903,11.622
24.64,11.615
25.376,11.632
26.112,11.642
26.849,11.668
27.585,11.676
28.321,11.711
29.057,11.714
29.793,11.749
30.529,11.754
31.265,11.793
32.001,11.816
32.737,11.85
33.473,11.859
34.209,11.892
34.945,11.904
35.682,11.917
36.418,11.912
37.153,11.956
37.89,11.965
38.626,11.999
39.361,12.029
40.097,12.06
40.833,12.101
41.565,12.176
42.301,12.208
43.037,12.241
43.773,12.245
44.507,12.306
45.242,12.357
45.973,12.445
46.701,12.56
47.307,12.979
47.579,13.663
49.791,12.109
49.779,12.845
49.747,13.581
49.752,14.318
49.721,15.054
49.701,15.79
49.668,16.526
49.658,17.262
49.637,17.998
49.655,18.735
49.642,19.471
49.61,20.207
49.549,20.941
49.506,21.676
49.414,22.407
49.355,23.141
49.282,23.874
49.24,24.609
49.197,25.344
49.177,26.08
49.117,26.815
49.088,27.55
49.046,28.286
49.021,29.022
48.964,29.756
48.911,30.491
48.831,31.223
48.744,31.954
48.649,32.685
48.557,33.415
48.447,34.144
48.363,34.875
48.261,35.605
48.155,36.334
48.056,37.063
47.968,37.794
47.848,38.521
47.759,39.252
47.648,39.98
47.605,40.716
47.914,41.384
48.395,40.827
48.635,40.131
48.735,39.401
48.809,38.668
48.849,37.933
48.912,37.199
48.984,36.466
49.094,35.738
49.188,35.007
49.298,34.279
49.356,33.545
49.465,32.816
49.55,32.085
49.647,31.355
49.715,30.621
49.826,29.893
49.915,29.162
50.061,28.44
50.17,27.712
50.307,26.988
50.394,26.257
50.514,25.53
50.612,24.8
50.712,24.071
50.8,23.339
50.925,22.614
51.018,21.883
51.145,21.158
51.237,20.427
51.365,19.702
51.482,18.974
51.634,18.254
51.721,17.522
51.864,16.8
51.991,16.074
52.121,15.35
52.223,14.62
52.366,13.898
52.477,13.17
52.618,12.447
52.73,11.719
52.859,10.994
52.791,10.26
52.296,9.715
51.611,9.445
48.3,10.69
47.576,10.555
46.855,10.406
46.128,10.285
45.407,10.137
44.687,9.982
43.978,9.783
43.26,9.616
42.55,9.421
41.833,9.251
41.12,9.068
40.398,8.921
39.689,8.724
38.978,8.531
38.269,8.331
37.557,8.143
36.856,7.916
36.153,7.698
35.447,7.488
34.733,7.308
34.019,7.126
33.297,6.982
32.583,6.801
31.866,6.63
31.158,6.429
30.438,6.274
29.725,6.088
29.006,5.931
28.293,5.747
27.573,5.59
26.859,5.408
26.141,5.244
25.437,5.029
24.723,4.849
24.015,4.645
23.305,4.449
22.6,4.236
21.884,4.062
21.166,3.898
20.451,3.724
19.738,3.539
19.023,3.361
18.311,3.171
17.595,3.001
16.88,2.825
16.163,2.657
15.456,2.449
14.743,2.266
14.035,2.063
13.32,1.884
12.62,1.655
11.909,1.466
11.203,1.254
10.49,1.069
9.781,0.869
9.067,0.691
8.359,0.487
7.646,0.303
6.942,0.087
6.23,-0.101
5.526,-0.317
4.816,-0.513
4.243,-0.975
4.059,-1.689
1.216,9.939
1.375,9.22
1.563,8.508
1.752,7.796
1.941,7.084
2.133,6.373
2.339,5.666
2.516,4.951
2.725,4.245
2.894,3.528
3.094,2.819
3.207,2.091
