EX(m),EY(m)
27.369,29.05
27.287,29.782
27.244,30.517
27.173,31.25
27.128,31.985
27.092,32.721
27.091,33.457
27.062,34.193
27.059,34.93
27.04,35.666
27.028,36.403
27.042,37.139
27.336,37.814
28.005,38.122
2.673,44.375
3.409,44.355
4.145,44.313
4.88,44.358
5.616,44.38
6.35,44.442
7.085,44.481
7.821,44.517
8.557,44.528
9.292,44.579
10.028,44.593
10.764,44.63
11.5,44.663
12.233,44.727
12.969,44.757
13.705,44.802
14.441,44.827
15.175,44.884
15.91,44.929
16.644,44.989
17.38,45.021
18.115,45.059
18.852,45.076
19.587,45.123
20.322,45.157
21.059,45.176
21.795,45.189
22.531,45.215
23.268,45.222
24.004,45.241
24.74,45.234
25.477,45.252
26.213,45.262
26.949,45.287
27.686,45.296
28.421,45.331
29.158,45.334
29.893,45.369
30.63,45.374
31.365,45.412
32.102,45.436
32.837,45.47
33.574,45.479
34.309,45.511
35.046,45.524
35.782,45.536
36.519,45.531
37.254,45.576
37.99,45.585
38.726,45.619
39.462,45.649
40.198,45.68
40.933,45.721
41.666,45.796
42.402,45.827
43.137,45.861
43.874,45.865
44.608,45.926
45.343,45.976
46.074,46.065
46.801,46.18
47.407,46.598
47.68,47.283
49.8,12.173
49.78,12.909
49.742,13.645
49.739,14.381
49.701,15.117
49.674,15.853
49.634,16.588
49.618,17.325
49.589,18.06
49.6,18.797
49.58,19.533
49.541,20.269
49.473,21.002
49.423,21.737
49.324,22.467
49.258,23.2
49.178,23.932
49.128,24.667
49.078,25.402
49.052,26.138
48.985,26.871
48.948,27.607
48.899,28.342
48.867,29.078
48.803,29.811
48.743,30.545
48.656,31.277
48.562,32.007
48.46,32.737
48.361,33.466
48.244,34.194
48.152,34.924
48.043,35.653
47.931,36.381
47.825,37.109
47.729,37.84
47.603,38.565
47.507,39.295
47.389,40.022
47.338,40.757
47.641,41.429
48.128,40.876
48.375,40.182
49.8,38.327
49.881,37.595
49.928,36.86
49.998,36.127
50.077,35.395
50.195,34.667
50.296,33.938
50.413,33.211
50.478,32.477
50.593,31.75
50.685,31.019
50.789,30.29
50.864,29.557
50.982,28.83
51.079,28.1
51.231,27.38
51.348,26.652
51.492,25.93
51.585,25.2
51.713,24.474
51.817,23.745
51.925,23.016
52.02,22.286
52.152,21.562
52.251,20.832
52.386,20.108
52.484,19.378
52.619,18.654
52.743,17.928
52.902,17.209
52.996,16.478
53.147,15.757
53.28,15.033
53.418,14.309
53.526,13.581
53.676,12.86
53.795,12.133
53.942,11.411
54.061,10.684
54.197,9.961
54.136,9.227
53.647,8.676
49.063,10.7
48.328,10.732
47.599,10.837
46.868,10.927
46.141,11.047
45.41,11.138
44.679,11.223
43.943,11.262
43.21,11.335
42.475,11.379
41.742,11.448
41.008,11.504
40.277,11.596
39.541,11.638
38.806,11.684
38.071,11.722
37.336,11.773
36.6,11.784
35.863,11.804
35.127,11.832
34.393,11.89
33.659,11.948
32.929,12.043
32.195,12.102
31.461,12.17
30.726,12.207
29.994,12.292
29.26,12.345
28.528,12.427
27.793,12.483
27.061,12.565
26.327,12.623
25.594,12.698
24.858,12.721
24.124,12.78
23.388,12.814
22.653,12.857
21.917,12.882
21.183,12.947
20.451,13.022
19.717,13.088
18.983,13.141
18.249,13.203
17.514,13.252
16.781,13.321
16.047,13.385
15.314,13.455
14.578,13.486
13.844,13.542
13.108,13.577
12.374,13.637
11.637,13.646
10.903,13.695
10.167,13.722
9.432,13.775
8.697,13.814
7.963,13.875
7.227,13.909
6.492,13.964
5.756,13.986
5.021,14.037
4.285,14.059
3.55,14.102
2.859,13.848
2.455,13.232
1.2,9.227
1.224,8.491
1.278,7.756
1.332,7.022
1.387,6.287
1.445,5.553
1.517,4.82
1.56,4.085
1.635,3.352
1.669,2.617
1.735,1.883
1.712,1.147
