X(m),Y(m)
1.200, 1.700
1.188, 2.447
1.207, 3.184
1.209, 3.934
1.198, 4.697
1.202, 5.463
1.210, 6.196
1.203, 6.953
1.212, 7.698
1.205, 8.451
1.203, 9.217
1.195, 9.969
1.203, 10.705
1.970, 10.695
2.753, 10.713
3.512, 10.701
4.259, 10.710
5.076, 10.705
5.836, 10.721
6.608, 10.706
7.370, 10.708
8.152, 10.719
8.934, 10.708
9.681, 10.691
10.468, 10.710
11.228, 10.709
12.037, 10.718
12.781, 10.714
13.535, 10.715
14.315, 10.686
15.090, 10.685
15.840, 10.701
16.620, 10.704
17.422, 10.704
18.168, 10.712
18.949, 10.720
19.717, 10.704
20.490, 10.722
21.236, 10.693
22.024, 10.700
22.795, 10.697
23.575, 10.715
24.335, 10.709
25.108, 10.716
25.891, 10.699
26.650, 10.697
27.449, 10.703
28.185, 10.696
28.995, 10.699
29.746, 10.701
30.521, 10.696
31.278, 10.705
32.068, 10.708
32.820, 10.708
33.595, 10.718
34.400, 10.710
35.140, 10.709
35.920, 10.724
36.676, 10.688
37.491, 10.695
38.237, 10.700
38.997, 10.695
39.784, 10.700
40.557, 10.696
41.325, 10.701
42.091, 10.701
42.863, 10.698
43.613, 10.704
44.414, 10.695
45.166, 10.691
45.943, 10.701
46.713, 10.691
47.473, 10.691
48.252, 10.714
49.028, 10.718
49.800, 10.713
49.800, 11.408
49.791, 12.109
49.794, 12.841
49.798, 13.555
49.784, 14.261
49.804, 14.955
49.817, 15.669
49.803, 16.396
49.801, 17.086
49.815, 17.797
49.808, 18.478
49.794, 19.206
49.802, 19.925
49.807, 20.628
49.827, 21.328
49.807, 22.031
49.799, 22.734
49.809, 23.460
49.798, 24.174
49.785, 24.863
49.795, 25.586
49.789, 26.273
49.819, 27.000
49.793, 27.715
49.818, 28.408
49.799, 29.116
49.797, 29.854
49.790, 30.539
49.790, 31.249
49.795, 31.947
49.792, 32.646
49.783, 33.361
49.796, 34.071
49.790, 34.790
49.806, 35.486
49.798, 36.184
49.800, 36.910
49.800, 37.628
49.789, 38.325
49.804, 39.025
49.792, 39.740
49.782, 40.450
49.795, 41.147
49.798, 40.440
49.782, 39.725
49.798, 39.012
49.794, 38.308
49.795, 37.614
49.804, 36.885
49.807, 36.194
49.804, 35.478
49.786, 34.776
49.806, 34.038
49.797, 33.349
49.795, 32.659
49.797, 31.931
49.788, 31.215
49.801, 30.524
49.782, 29.828
49.787, 29.113
49.799, 28.391
49.792, 27.692
49.809, 26.990
49.795, 26.286
49.784, 25.573
49.774, 24.861
49.793, 24.156
49.785, 23.436
49.770, 22.742
49.795, 22.020
49.800, 21.324
49.801, 20.598
49.789, 19.921
49.795, 19.191
49.784, 18.499
49.816, 17.782
49.802, 17.068
49.808, 16.368
49.769, 15.654
49.803, 14.954
49.795, 14.232
49.783, 13.538
49.797, 12.825
49.796, 12.121
49.795, 11.421
49.799, 10.698
49.055, 10.690
48.300, 10.690
47.579, 10.692
46.794, 10.700
46.065, 10.706
45.323, 10.682
44.560, 10.697
43.833, 10.692
43.085, 10.682
42.327, 10.692
41.568, 10.687
40.822, 10.697
40.080, 10.704
39.346, 10.701
38.595, 10.706
37.851, 10.685
37.099, 10.695
36.339, 10.714
35.614, 10.704
34.832, 10.681
34.120, 10.709
33.354, 10.714
32.598, 10.692
31.839, 10.697
31.127, 10.708
30.374, 10.682
29.613, 10.695
28.862, 10.695
28.110, 10.719
27.364, 10.693
26.617, 10.695
25.874, 10.706
25.121, 10.709
24.379, 10.696
23.612, 10.706
22.894, 10.682
22.128, 10.710
21.367, 10.698
20.621, 10.700
19.892, 10.703
19.142, 10.694
18.401, 10.699
17.645, 10.700
16.906, 10.697
16.138, 10.700
15.418, 10.699
14.648, 10.701
13.901, 10.692
13.184, 10.699
12.424, 10.694
11.664, 10.707
10.905, 10.694
10.164, 10.696
9.419, 10.697
8.683, 10.709
7.940, 10.687
7.167, 10.705
6.455, 10.706
5.690, 10.688
4.939, 10.717
4.198, 10.687
3.459, 10.686
2.689, 10.710
1.927, 10.691
1.204, 10.701
1.216, 9.939
1.191, 9.207
1.195, 8.460
1.201, 7.696
1.205, 6.917
1.200, 6.193
1.214, 5.446
1.207, 4.688
1.222, 3.945
1.198, 3.189
1.200, 2.451
1.195, 1.692


