EX(m),EY(m)
1.375,1.256
1.392,1.983
1.417,2.71
1.412,3.437
1.422,4.163
1.414,4.89
1.404,5.617
1.381,6.344
1.352,7.07
1.318,7.796
1.293,8.523
1.23,9.247
1.2,9.973
1.2,10.7
1.927,10.7
2.65,10.627
3.366,10.503
4.089,10.425
4.81,10.334
5.533,10.257
6.255,10.172
6.98,10.114
7.703,10.039
8.428,9.991
9.153,9.936
9.878,9.891
10.603,9.836
11.328,9.779
12.053,9.724
12.779,9.691
13.504,9.644
14.23,9.603
14.955,9.555
15.681,9.52
16.407,9.484
17.134,9.452
17.859,9.407
18.586,9.39
19.312,9.361
20.038,9.329
20.764,9.285
21.49,9.252
22.216,9.207
22.942,9.185
23.668,9.141
24.394,9.116
25.915,12.645
26.633,12.535
27.354,12.437
28.074,12.343
28.797,12.264
29.519,12.177
30.241,12.094
30.961,11.996
31.683,11.909
32.402,11.806
33.125,11.729
33.848,11.65
34.571,11.572
35.29,11.471
36.014,11.397
36.736,11.318
37.461,11.265
38.185,11.202
38.911,11.165
39.636,11.106
40.361,11.061
41.086,11.007
41.812,10.962
42.537,10.91
43.262,10.854
43.986,10.798
44.713,10.783
45.44,10.754
46.166,10.748
46.893,10.713
47.619,10.709
48.346,10.695
49.073,10.7
49.8,10.7
49.8,11.427
49.73,12.15
49.65,12.873
49.536,13.591
49.426,14.309
49.301,15.026
49.206,15.746
49.106,16.466
49.024,17.188
48.913,17.907
48.796,18.624
48.683,19.342
48.572,20.061
48.455,20.778
48.341,21.496
48.2,22.209
48.069,22.924
47.92,23.636
47.782,24.349
47.61,25.056
47.453,25.765
49.507,25.178
49.552,25.903
49.606,26.628
49.663,27.353
49.727,28.077
49.776,28.802
49.84,29.526
49.887,30.252
49.936,30.977
49.954,31.703
49.974,32.43
49.965,33.157
49.967,33.884
49.943,34.61
49.932,35.337
49.911,36.064
49.904,36.791
49.884,37.517
49.877,38.244
49.861,38.971
49.848,39.698
49.8,40.423
49.8,41.15
49.8,40.423
49.73,39.7
49.616,38.982
49.503,38.264
49.385,37.546
49.276,36.828
49.159,36.11
49.05,35.391
48.944,34.672
48.85,33.951
48.748,33.232
48.669,32.509
48.579,31.788
48.506,31.065
48.421,30.343
48.364,29.618
48.296,28.894
48.246,28.169
48.194,27.444
48.161,26.718
48.119,25.992
50.778,26.644
50.705,25.921
50.62,25.199
50.526,24.478
50.429,23.758
50.354,23.035
50.259,22.314
50.205,21.589
50.145,20.865
50.081,20.141
50.02,19.416
49.973,18.691
49.917,17.966
49.896,17.24
49.855,16.514
49.838,15.787
49.81,15.061
49.797,14.334
49.776,13.607
49.772,12.88
49.776,12.153
49.8,11.427
49.8,10.7
49.073,10.7
48.348,10.751
47.627,10.847
46.907,10.947
46.189,11.055
45.469,11.159
44.752,11.275
44.032,11.379
43.313,11.488
42.593,11.582
41.872,11.677
41.149,11.754
40.427,11.834
39.702,11.896
38.982,11.99
38.258,12.056
37.534,12.129
36.809,12.17
36.083,12.218
35.356,12.233
34.63,12.26
33.903,12.268
33.177,12.306
32.45,12.309
31.723,12.305
30.997,12.286
30.27,12.276
29.544,12.231
28.818,12.2
28.093,12.152
27.367,12.119
26.643,12.049
25.666,7.476
24.953,7.62
24.239,7.756
23.528,7.906
22.813,8.039
22.101,8.185
21.389,8.333
20.679,8.486
19.963,8.612
19.251,8.757
18.535,8.883
17.82,9.015
17.098,9.099
16.381,9.22
15.659,9.308
14.939,9.407
14.218,9.494
13.499,9.602
12.778,9.693
12.059,9.8
11.337,9.891
10.617,9.987
9.895,10.075
9.175,10.174
8.452,10.246
7.73,10.329
7.004,10.378
6.281,10.445
5.555,10.491
4.83,10.547
4.104,10.577
3.379,10.625
2.652,10.655
1.927,10.7
1.2,10.7
1.2,9.973
1.24,9.247
1.337,8.527
1.426,7.805
1.524,7.085
1.621,6.365
1.756,5.65
1.895,4.937
2.047,4.226
2.194,3.514
2.367,2.808
2.512,2.096
2.682,1.389
