segid,coordx,coordy,wifiinfos
seg20,3.409,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-55.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:28:50|-87.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-78.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-67.0;e4:c2:d1:f4:57:e0|-67.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-82.0;d4:94:e8:21:3f:90|-90.0;d4:94:e8:1e:8d:20|-49.0;d4:94:e8:21:3d:60|-35.0;d4:94:e8:1e:a2:60|-53.0;d4:94:e8:19:a6:c0|-62.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-62.0;cc:af:78:56:cf:d8|-66.0;d4:94:e8:1e:95:d0|-90.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-56.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-45.0;ee:26:ca:ac:f2:f8|-76.0;d4:94:e8:1e:8d:10|-42.0
seg20,4.145,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-55.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:28:50|-87.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-78.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-67.0;e4:c2:d1:f4:57:e0|-67.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-82.0;d4:94:e8:21:3f:90|-90.0;d4:94:e8:1e:8d:20|-45.0;d4:94:e8:21:3d:60|-35.0;d4:94:e8:1e:a2:60|-53.0;d4:94:e8:19:a6:c0|-62.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-62.0;cc:af:78:56:cf:d8|-66.0;d4:94:e8:1e:95:d0|-90.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-56.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-45.0;ee:26:ca:ac:f2:f8|-76.0;d4:94:e8:1e:8d:10|-42.0
seg20,4.882,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-55.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-78.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-67.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-82.0;d4:94:e8:21:3f:90|-90.0;d4:94:e8:1e:8d:20|-42.0;d4:94:e8:21:3d:60|-35.0;d4:94:e8:1e:a2:60|-53.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-62.0;cc:af:78:56:cf:d8|-66.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-56.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-45.0;ee:26:ca:ac:f2:f8|-76.0;d4:94:e8:1e:8d:10|-42.0
seg20,5.618,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-55.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-78.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-67.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-82.0;d4:94:e8:21:3f:90|-90.0;d4:94:e8:1e:8d:20|-39.0;d4:94:e8:21:3d:60|-35.0;d4:94:e8:1e:a2:60|-53.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-62.0;cc:af:78:56:cf:d8|-66.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-56.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-45.0;ee:26:ca:ac:f2:f8|-76.0;d4:94:e8:1e:8d:10|-42.0
seg20,9.3,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-79.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-79.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-71.0;44:6e:e5:df:f1:a2|-69.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-85.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:21:3d:60|-47.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-49.0;cc:af:78:56:cf:d8|-76.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-60.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-61.0;ee:26:ca:ac:f2:f8|-80.0;d4:94:e8:1e:8d:10|-38.0
seg20,10.036,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-79.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-79.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-71.0;44:6e:e5:df:f1:a2|-69.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-85.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:21:3d:60|-47.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-49.0;cc:af:78:56:cf:d8|-76.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-60.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-61.0;ee:26:ca:ac:f2:f8|-80.0;d4:94:e8:1e:8d:10|-38.0
seg20,10.773,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-79.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-79.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-71.0;44:6e:e5:df:f1:a2|-69.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-85.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-37.0;d4:94:e8:21:3d:60|-47.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-49.0;cc:af:78:56:cf:d8|-76.0;d4:94:e8:21:0a:b0|-79.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-60.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-61.0;ee:26:ca:ac:f2:f8|-80.0;d4:94:e8:1e:8d:10|-38.0
seg20,12.245,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-79.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:21:6a:b0|-79.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-71.0;44:6e:e5:df:f1:a2|-69.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-85.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-36.0;d4:94:e8:21:3d:60|-47.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-49.0;cc:af:78:56:cf:d8|-76.0;d4:94:e8:21:0a:b0|-79.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-60.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;00:24:01:7a:8c:c8|-57.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-61.0;ee:26:ca:ac:f2:f8|-80.0;d4:94:e8:1e:8d:10|-38.0
seg19,15.191,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-79.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:1e:ac:a0|-68.0;d4:94:e8:21:6a:b0|-71.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-72.0;44:6e:e5:df:f1:a2|-69.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-81.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-36.0;d4:94:e8:21:3d:60|-47.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-48.0;cc:af:78:56:cf:d8|-76.0;d4:94:e8:1e:ae:80|-63.0;d4:94:e8:21:0a:b0|-79.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-64.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;d4:94:e8:21:3f:80|-64.0;00:24:01:7a:8c:c8|-68.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-47.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-79.0;ee:26:ca:ac:f2:f8|-80.0;d4:94:e8:1e:8d:10|-45.0
seg19,16.664,10.7,d4:94:e8:19:a6:d0|-90.0;d4:94:e8:1e:a2:70|-73.0;d4:94:e8:21:28:60|-60.0;d4:94:e8:21:34:60|-52.0;d4:94:e8:21:27:30|-86.0;00:06:f4:af:50:20|-83.0;d4:94:e8:21:27:50|-89.0;2c:30:33:f4:6f:35|-82.0;d4:94:e8:21:27:70|-81.0;d4:94:e8:21:28:70|-79.0;d4:94:e8:21:24:d0|-75.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-84.0;d4:94:e8:21:6b:20|-56.0;d4:94:e8:1e:ac:a0|-68.0;d4:94:e8:21:6a:b0|-71.0;d4:94:e8:21:28:f0|-73.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-72.0;44:6e:e5:df:f1:a2|-69.0;d4:94:e8:21:27:a0|-76.0;d4:94:e8:21:67:b0|-81.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-35.5;d4:94:e8:21:3d:60|-47.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:1e:95:d0|-90.0;bc:46:99:9f:99:c8|-88.0;d4:94:e8:21:26:e0|-60.0;d4:94:e8:21:34:70|-48.0;cc:af:78:56:cf:d8|-76.0;d4:94:e8:1e:ae:80|-63.0;d4:94:e8:21:0a:b0|-79.0;8c:ab:8e:e3:50:90|-71.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-66.0;d4:94:e8:21:67:10|-73.0;00:27:19:2c:10:c4|-64.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-84.0;d4:94:e8:21:28:e0|-60.0;d4:94:e8:21:3f:80|-64.0;00:24:01:7a:8c:c8|-68.0;d4:94:e8:21:27:60|-72.0;d4:94:e8:1e:8d:30|-47.0;d4:94:e8:21:27:b0|-79.0;d4:94:e8:21:3d:70|-79.0;ee:26:ca:ac:f2:f8|-80.0;d4:94:e8:1e:8d:10|-45.0
