userid,floorid,timestamp,acce_x,acce_y,acce_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067268940,0.52433777,1.8124084,9.526535
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067268973,0.45251465,1.6112976,9.586395
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067268992,0.28730774,1.5921478,9.658218
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269014,0.21788025,1.6160889,9.607941
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269032,0.35195923,1.7238312,9.54808
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269052,0.35195923,1.7046661,9.691742
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269071,0.25378418,1.7310028,9.856934
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269090,0.08140564,1.6759338,9.7061
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269110,0.03112793,1.7405853,9.607941
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269131,0.0023956299,1.656784,9.756378
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269150,0.04310608,1.6615753,9.605545
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269170,0.0071868896,1.5586243,9.584
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269189,-0.07421875,1.4820099,9.686951
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269209,-0.07421875,1.3455353,9.859329
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269228,-0.07661438,1.3670807,9.576813
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269249,-0.07661438,1.4389191,9.459503
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269268,0.13887024,1.6112976,9.543289
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269288,0.19633484,1.6974945,9.753983
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269307,0.09098816,1.6974945,9.844971
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269328,0.03831482,1.6543884,9.770752
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269346,-0.06942749,1.6472168,9.682159
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269366,0.04550171,1.4939728,9.811447
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269386,-0.12210083,1.2761078,9.835388
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269406,-0.31602478,1.2210388,9.698914
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269426,-0.13885498,1.2473755,9.756378
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269448,-0.17956543,1.1875153,9.854538
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269465,-0.20828247,1.2904663,9.96228
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269485,-0.13166809,1.4580688,9.732437
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269504,-0.07182312,1.5562286,9.445129
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269525,-0.36869812,1.3335724,9.540894
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269545,-0.5722046,1.1109009,9.854538
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269564,-0.46446228,1.154007,9.90242
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269584,-0.30885315,1.256958,9.825806
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269603,-0.1197052,1.3048401,9.832993
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269624,-0.11730957,1.2737122,10.072418
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269643,-0.1484375,1.2737122,9.96228
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269665,-0.06703186,1.3551178,9.746796
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269684,0.10534668,1.4700317,9.74202
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269702,0.31604004,1.6041107,10.014954
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269723,0.49320984,1.7070618,9.782715
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269742,0.6201019,1.7741089,9.775528
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269762,0.4285736,1.608902,9.524139
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269782,0.40463257,1.6232605,9.481049
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269801,0.37590027,1.5251007,9.524139
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269820,0.3208313,1.5251007,9.382889
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269841,0.13407898,1.663971,9.129105
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269860,0.05986023,1.8363495,9.241623
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269880,-0.27053833,1.6783295,9.54808
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269900,-0.41418457,1.395813,10.034103
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269919,-0.42137146,1.0702057,10.407608
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269940,-0.4165802,0.9433136,10.503372
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269959,-0.22505188,1.0845642,10.27832
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269979,0.13647461,1.4556732,9.734833
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067269998,0.3040619,1.8507233,9.296692
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270019,0.45491028,2.0350647,9.1410675
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270038,0.22984314,1.9512787,9.291901
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270058,0.01676941,1.7477722,9.643845
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270077,-0.22984314,1.5490417,9.696518
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270097,-0.45968628,1.3694763,9.794693
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270117,-0.40701294,1.2449799,10.036499
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270136,-0.28012085,1.1707611,10.23761
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270156,-0.30885315,1.1707611,10.055649
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270176,-0.35913086,1.2282257,9.667801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270196,-0.22026062,1.4245453,9.56723
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270216,-0.02633667,1.4963684,9.550476
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067270235,-0.07182312,1.4604645,9.768356
