X(m),Y(m)
49.800, 59.150
49.799, 59.877
49.801, 60.613
49.779, 61.325
49.807, 62.082
49.793, 62.810
49.834, 63.509
49.802, 64.243
49.797, 64.962
49.780, 65.702
49.815, 66.408
49.799, 67.171
49.807, 67.896
49.813, 68.614
49.810, 69.334
49.795, 70.053
49.792, 70.789
49.805, 71.501
49.804, 72.233
49.801, 72.961
49.789, 73.689
49.795, 74.405
49.787, 75.157
49.803, 75.881
49.793, 76.624
49.801, 77.299
49.792, 78.052
49.038, 78.042
48.296, 78.052
47.539, 78.054
46.805, 78.040
46.051, 78.061
45.316, 78.048
44.550, 78.056
43.824, 78.043
43.063, 78.039
42.298, 78.047
41.551, 78.054
40.821, 78.044
40.091, 78.048
39.350, 78.051
38.573, 78.067
37.833, 78.051
37.061, 78.077
36.320, 78.045
35.596, 78.061
34.840, 78.037
34.079, 78.048
33.331, 78.056
32.581, 78.049
31.871, 78.038
31.097, 78.054
30.352, 78.049
29.612, 78.061
28.862, 78.055
28.129, 78.037
27.348, 78.050
26.607, 78.052
25.863, 78.042
25.116, 78.064
24.361, 78.045
23.634, 78.054
22.850, 78.062
22.134, 78.048
21.401, 78.034
20.626, 78.058
19.878, 78.030
19.153, 78.046
18.405, 78.062
17.641, 78.071
16.902, 78.054
16.158, 78.033
15.415, 78.056
14.662, 78.049
13.917, 78.054
13.149, 78.052
12.399, 78.059
11.665, 78.037
10.943, 78.055
10.202, 78.054
9.430, 78.034
8.641, 78.055
7.917, 78.060
7.175, 78.057
6.464, 78.048
5.705, 78.054
4.941, 78.060
4.182, 78.061
3.444, 78.049
2.690, 78.043
1.954, 78.040
1.218, 78.067
1.210, 77.337
1.227, 76.594
1.220, 75.836
1.212, 75.095
1.220, 74.333
1.203, 73.585
1.204, 72.845
1.210, 72.142
1.227, 71.380
1.220, 70.607
1.202, 69.855
1.227, 69.124
1.204, 68.405
1.231, 67.638
1.212, 66.908
1.206, 66.157
1.225, 65.426
1.218, 64.670
1.241, 63.924
1.198, 63.191
1.224, 62.460
1.225, 61.701
1.230, 60.955
