EX(m),EY(m)
48.297,59.911
48.38,60.634
48.494,61.354
48.554,62.08
48.66,62.801
48.73,63.526
48.827,64.248
48.894,64.974
48.99,65.696
49.059,66.421
49.139,67.145
49.21,67.871
49.284,68.595
49.343,69.322
49.41,70.047
49.465,70.774
49.52,71.5
49.568,72.227
49.61,72.955
49.631,73.683
49.656,74.411
49.693,75.139
49.744,75.865
49.763,76.594
49.8,77.321
49.8,78.05
49.071,78.05
48.344,78.004
47.625,77.89
46.905,77.777
46.188,77.649
45.467,77.539
44.75,77.412
44.03,77.298
43.312,77.174
42.592,77.064
41.874,76.942
41.155,76.823
40.441,76.679
39.724,76.549
39.014,76.386
38.303,76.228
37.597,76.045
36.892,75.864
36.193,75.657
35.493,75.454
34.793,75.252
34.092,75.055
33.395,74.843
32.694,74.645
31.998,74.43
31.304,74.205
30.61,73.984
29.91,73.783
29.211,73.578
28.513,73.369
27.817,73.154
24.194,74.535
23.492,74.73
22.781,74.89
22.071,75.054
21.359,75.209
20.649,75.37
19.937,75.526
19.231,75.707
18.521,75.872
17.811,76.034
17.096,76.173
16.383,76.325
15.668,76.462
14.954,76.607
14.237,76.736
13.522,76.876
12.8,76.976
12.079,77.08
11.355,77.164
10.634,77.265
9.911,77.355
9.187,77.444
8.462,77.509
7.737,77.581
7.01,77.627
6.285,77.705
5.56,77.779
4.836,77.857
4.11,77.917
3.384,77.982
2.656,78.013
1.929,78.05
1.2,78.05
1.2,77.321
1.238,76.594
1.315,75.869
1.378,75.143
1.448,74.418
1.511,73.692
1.583,72.967
1.647,72.242
1.729,71.518
1.798,70.792
1.897,70.07
1.975,69.346
2.092,68.627
2.202,67.907
2.323,67.188
2.426,66.467
2.541,65.748
2.648,65.027
2.766,64.308
2.86,63.585
2.976,62.866
3.088,62.146
3.211,61.428
3.289,60.704
