EX(m),EY(m)
49.8,59.15
49.77,59.878
49.725,60.605
49.635,61.328
49.603,62.056
49.536,62.782
49.497,63.509
49.432,64.235
49.387,64.962
49.333,65.689
49.295,66.416
49.254,67.144
49.221,67.871
49.175,68.599
49.13,69.326
49.082,70.053
49.056,70.781
49.005,71.508
48.94,72.233
48.853,72.957
48.795,73.683
48.761,74.411
48.723,75.138
48.668,75.865
48.63,76.592
48.539,77.315
48.135,77.922
47.444,78.152
46.718,78.21
45.992,78.15
45.264,78.107
44.539,78.044
43.813,77.973
44.479,78.054
43.753,77.997
43.026,77.944
42.298,77.914
41.571,77.874
40.845,77.809
40.12,77.737
39.396,77.656
38.673,77.563
37.948,77.495
37.226,77.394
36.506,77.286
35.789,77.152
35.066,77.063
34.344,76.969
33.619,76.896
32.895,76.811
32.17,76.744
31.448,76.647
30.724,76.561
29.997,76.514
29.27,76.461
28.546,76.388
27.82,76.32
27.096,76.243
26.372,76.162
25.65,76.062
24.924,76.003
24.2,75.919
23.475,75.843
22.75,75.778
22.023,75.723
21.302,75.62
20.583,75.501
19.868,75.362
19.151,75.23
18.438,75.081
17.717,74.977
16.998,74.859
16.276,74.758
15.563,74.613
14.841,74.512
14.123,74.385
13.401,74.294
12.682,74.174
11.962,74.061
11.246,73.928
10.529,73.795
9.813,73.665
9.089,73.578
8.369,73.468
7.645,73.387
6.924,73.285
6.203,73.177
5.487,73.042
4.773,72.896
4.066,72.722
3.526,72.233
3.551,71.505
1.206,76.545
1.353,75.831
1.479,75.114
1.62,74.399
1.737,73.68
1.867,72.963
1.978,72.243
2.089,71.523
2.192,70.802
2.312,70.083
2.436,69.365
2.586,68.652
2.707,67.933
2.843,67.218
2.969,66.5
3.107,65.785
3.226,65.066
3.354,64.349
3.453,63.627
3.568,62.907
3.664,62.185
3.726,61.459
3.751,60.731
