EX(m),EY(m)
49.8 , 59.15
49.77 , 59.882
49.725 , 60.612
49.635 , 61.339
49.603 , 62.07
49.535 , 62.799
49.496 , 63.53
49.43 , 64.26
49.385 , 64.99
49.331 , 65.72
49.292 , 66.452
49.251 , 67.183
49.218 , 67.914
49.172 , 68.645
49.127 , 69.375
49.079 , 70.106
49.052 , 70.838
49.001 , 71.568
48.936 , 72.297
48.849 , 73.024
48.79 , 73.754
48.756 , 74.485
48.718 , 75.216
48.663 , 75.946
48.624 , 76.677
48.533 , 77.404
48.127 , 78.013
47.433 , 78.245
46.703 , 78.303
45.973 , 78.242
45.242 , 78.199
44.513 , 78.136
43.784 , 78.065
43.057 , 77.984
42.327 , 77.927
41.596 , 77.874
40.865 , 77.843
40.134 , 77.803
39.405 , 77.738
38.676 , 77.666
37.948 , 77.584
37.222 , 77.491
36.493 , 77.423
35.768 , 77.321
35.044 , 77.213
34.325 , 77.078
33.598 , 76.988
32.872 , 76.894
32.143 , 76.821
31.416 , 76.735
30.687 , 76.667
29.962 , 76.571
29.235 , 76.483
28.504 , 76.437
27.774 , 76.383
27.045 , 76.31
26.317 , 76.241
25.588 , 76.164
24.861 , 76.083
24.136 , 75.983
23.406 , 75.923
22.679 , 75.838
21.95 , 75.762
21.221 , 75.697
20.491 , 75.642
19.766 , 75.538
19.044 , 75.419
18.325 , 75.279
17.605 , 75.146
16.889 , 74.997
16.164 , 74.892
15.442 , 74.773
14.717 , 74.672
13.999 , 74.526
13.274 , 74.425
12.553 , 74.297
11.827 , 74.206
11.105 , 74.085
10.381 , 73.972
9.661 , 73.838
8.942 , 73.704
8.221 , 73.573
7.494 , 73.486
6.771 , 73.375
6.043 , 73.294
5.318 , 73.191
4.594 , 73.083
3.874 , 72.948
3.157 , 72.801
2.446 , 72.626
1.904 , 72.135
1.929 , 71.403
2.052 , 70.681
2.199 , 69.964
2.326 , 69.243
2.468 , 68.525
2.585 , 67.802
2.716 , 67.082
2.828 , 66.358
2.939 , 65.635
3.042 , 64.91
3.163 , 64.188
3.288 , 63.466
3.438 , 62.75
3.559 , 62.028
3.696 , 61.308
3.824 , 60.587
3.962 , 59.869
4.082 , 59.146
4.21 , 58.425
4.309 , 57.7
4.425 , 56.977
4.521 , 56.251
4.584 , 55.522
