segid,coordx,coordy,wifiinfos
seg20,1.2,10.7,d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;8c:ab:8e:e3:50:90|-78.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:0a:a0|-61.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-58.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;00:24:01:7a:8c:c8|-60.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:21:27:a0|-65.0;d4:94:e8:1e:8d:20|-52.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-55.0;d4:94:e8:1e:a2:60|-58.0;00:27:19:2c:10:c4|-49.0;d4:94:e8:21:34:70|-61.0;cc:af:78:56:cf:d8|-75.0;00:06:f4:af:50:10|-76.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:28:60|-65.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:1e:91:00|-74.0;d4:94:e8:21:27:60|-66.0;d4:94:e8:1e:8d:30|-58.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-42.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-49.0
seg20,1.971,10.7,d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-58.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;00:24:01:7a:8c:c8|-60.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:1e:8d:20|-52.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-55.0;d4:94:e8:1e:a2:60|-58.0;00:27:19:2c:10:c4|-49.0;d4:94:e8:21:34:70|-61.0;cc:af:78:56:cf:d8|-75.0;00:06:f4:af:50:10|-76.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-59.0;8c:ab:8e:e3:50:90|-78.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-74.0;d4:94:e8:21:27:60|-66.0;d4:94:e8:1e:8d:30|-58.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-42.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-49.0
seg20,2.743,10.7,d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-58.0;44:6e:e5:df:f1:a2|-67.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;00:24:01:7a:8c:c8|-60.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:1e:8d:20|-52.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-55.0;d4:94:e8:1e:a2:60|-58.0;00:27:19:2c:10:c4|-49.0;d4:94:e8:21:34:70|-61.0;cc:af:78:56:cf:d8|-75.0;00:06:f4:af:50:10|-76.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-63.0;8c:ab:8e:e3:50:90|-78.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-74.0;d4:94:e8:21:27:60|-66.0;d4:94:e8:1e:8d:30|-58.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-42.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-49.0
seg20,8.143,10.7,d4:94:e8:19:a6:d0|-87.0;d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-58.0;44:6e:e5:df:f1:a2|-65.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;e4:c2:d1:f4:57:e0|-72.0;00:24:01:7a:8c:c8|-63.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:21:67:b0|-84.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-52.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-31.0;d4:94:e8:1e:a2:60|-58.0;00:27:19:2c:10:c4|-51.0;d4:94:e8:21:34:70|-51.0;cc:af:78:56:cf:d8|-78.0;00:06:f4:af:50:10|-76.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-59.0;8c:ab:8e:e3:50:90|-76.0;c2:f8:da:62:cd:90|-78.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:6a:b0|-76.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-80.0;d4:94:e8:21:27:60|-66.0;d4:94:e8:1e:8d:30|-46.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-62.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-38.0
seg20,8.914,10.7,d4:94:e8:19:a6:d0|-87.0;d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-58.0;44:6e:e5:df:f1:a2|-65.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;e4:c2:d1:f4:57:e0|-72.0;00:24:01:7a:8c:c8|-63.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:21:67:b0|-84.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-52.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-31.0;d4:94:e8:1e:a2:60|-58.0;00:27:19:2c:10:c4|-51.0;d4:94:e8:21:34:70|-51.0;cc:af:78:56:cf:d8|-78.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-93.0;8c:ab:8e:e3:50:90|-76.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:6a:b0|-76.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-80.0;c2:f8:da:62:cd:90|-78.0;d4:94:e8:1e:8d:30|-46.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-62.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-38.0
seg20,9.686,10.7,d4:94:e8:19:a6:d0|-87.0;d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-59.0;44:6e:e5:df:f1:a2|-65.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;e4:c2:d1:f4:57:e0|-72.0;00:24:01:7a:8c:c8|-63.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:21:67:b0|-84.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-31.0;d4:94:e8:1e:a2:60|-58.0;d4:94:e8:19:a6:c0|-56.0;00:27:19:2c:10:c4|-51.0;d4:94:e8:21:34:70|-51.0;cc:af:78:56:cf:d8|-78.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-93.0;8c:ab:8e:e3:50:90|-76.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-80.0;c2:f8:da:62:cd:90|-78.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-67.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-30.0
seg20,10.457,10.7,d4:94:e8:19:a6:d0|-87.0;d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-86.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-59.0;44:6e:e5:df:f1:a2|-65.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;e4:c2:d1:f4:57:e0|-72.0;00:24:01:7a:8c:c8|-63.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:21:67:b0|-84.0;d4:94:e8:21:3f:90|-87.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-31.0;d4:94:e8:1e:a2:60|-58.0;d4:94:e8:19:a6:c0|-56.0;00:27:19:2c:10:c4|-51.0;d4:94:e8:21:34:70|-51.0;cc:af:78:56:cf:d8|-78.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-93.0;8c:ab:8e:e3:50:90|-76.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-80.0;c2:f8:da:62:cd:90|-78.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-67.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-37.0
seg20,14.314,10.7,d4:94:e8:19:a6:d0|-87.0;d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-70.0;d4:94:e8:18:0f:a0|-76.0;d4:94:e8:21:27:30|-87.0;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-84.0;d4:94:e8:21:27:70|-75.0;d4:94:e8:21:28:70|-57.0;d4:94:e8:21:24:d0|-76.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:28:50|-88.0;d4:94:e8:21:6b:20|-59.0;44:6e:e5:df:f1:a2|-65.0;d4:94:e8:21:66:d0|-83.0;d4:94:e8:21:26:f0|-59.0;d4:94:e8:21:26:e0|-58.0;ee:26:ca:a8:f2:f8|-69.0;e4:c2:d1:f4:57:e0|-72.0;00:24:01:7a:8c:c8|-63.0;bc:46:99:9f:99:c6|-72.0;d4:94:e8:21:67:b0|-81.0;d4:94:e8:21:3f:90|-84.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:21:3d:60|-39.0;d4:94:e8:1e:8d:00|-31.0;d4:94:e8:1e:a2:60|-58.0;d4:94:e8:19:a6:c0|-56.0;00:27:19:2c:10:c4|-65.0;d4:94:e8:21:34:70|-49.0;cc:af:78:56:cf:d8|-78.0;d4:94:e8:21:0a:b0|-76.0;d4:94:e8:21:0a:a0|-93.0;8c:ab:8e:e3:50:90|-76.0;d4:94:e8:21:28:b0|-85.0;d4:94:e8:21:6b:30|-78.0;d4:94:e8:21:6a:b0|-72.0;d4:94:e8:21:67:10|-53.0;02:ca:fe:ca:ca:30|-87.0;d4:94:e8:21:28:f0|-61.0;d4:94:e8:1e:91:00|-80.0;d4:94:e8:21:3f:80|-61.0;c2:f8:da:62:cd:90|-78.0;d4:94:e8:1e:8d:30|-47.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-74.0;ee:26:ca:ac:f2:f8|-74.0;d4:94:e8:1e:8d:10|-40.0
seg19,15.086,10.7,00:27:19:2c:10:c4|-65.0;d4:94:e8:19:a6:c0|-56.0;c2:f8:da:62:cd:90|-78.0;d4:94:e8:21:34:70|-49.0;d4:94:e8:21:6b:20|-59.0;d4:94:e8:21:3f:80|-61.0;d4:94:e8:21:67:b0|-81.0;d4:94:e8:21:3f:90|-84.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:1e:8d:30|-47.0;d4:94:e8:21:3d:70|-74.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:1e:8d:10|-44.0;d4:94:e8:21:6a:b0|-72.0
seg19,15.857,10.7,00:27:19:2c:10:c4|-65.0;d4:94:e8:19:a6:c0|-56.0;d4:94:e8:21:6a:b0|-72.0;d4:94:e8:21:34:70|-49.0;d4:94:e8:21:6b:20|-59.0;d4:94:e8:21:3f:80|-61.0;d4:94:e8:21:67:b0|-81.0;d4:94:e8:21:3f:90|-84.0;d4:94:e8:1e:8d:20|-38.0;d4:94:e8:1e:8d:30|-47.0;d4:94:e8:21:3d:70|-74.0;d4:94:e8:1e:ac:b0|-89.0;d4:94:e8:1e:8d:10|-46.0
