EX(m),EY(m)
49.8,1.95
49.804,2.712
49.844,3.473
49.846,4.235
49.871,4.997
49.884,5.759
49.918,6.52
49.963,7.281
49.985,8.042
49.977,8.804
49.975,9.566
49.67,10.265
48.96,10.541
48.201,10.612
47.443,10.683
46.682,10.736
45.924,10.81
45.164,10.859
44.407,10.949
43.647,11.008
42.886,11.052
42.127,11.113
41.369,11.193
40.609,11.252
39.853,11.348
39.096,11.432
38.339,11.525
37.583,11.618
36.826,11.709
36.068,11.788
35.311,11.876
34.552,11.943
33.795,12.026
33.035,12.078
32.279,12.179
31.522,12.262
30.761,12.306
29.999,12.32
29.237,12.312
28.475,12.306
27.714,12.351
26.954,12.405
26.194,12.463
25.435,12.526
24.675,12.576
23.914,12.62
23.153,12.668
22.393,12.712
21.632,12.755
20.87,12.787
20.11,12.832
19.348,12.869
18.589,12.938
17.829,12.983
17.068,13.028
16.307,13.066
15.547,13.126
14.786,13.158
14.025,13.203
13.264,13.236
12.505,13.31
11.744,13.349
10.985,13.417
10.226,13.475
9.469,13.567
8.708,13.61
7.948,13.663
7.187,13.692
6.425,13.711
5.663,13.72
4.91,13.837
4.235,14.191
3.97,14.906
3.935,15.667
3.979,16.428
3.998,17.19
4.066,17.949
4.1,18.71
4.132,19.471
4.102,20.233
4.092,20.995
4.052,21.756
4.051,22.518
4.073,23.28
4.1,24.041
4.116,24.803
4.12,25.565
4.11,26.327
4.115,27.089
4.108,27.851
4.132,28.613
4.131,29.375
4.138,30.137
4.129,30.899
4.121,31.661
4.1,32.423
4.07,33.184
4.027,33.945
4.005,34.707
3.952,35.467
3.926,36.228
3.853,36.987
3.801,37.747
3.756,38.508
3.7,39.268
3.631,40.027
3.62,40.789
3.591,41.55
3.595,42.312
3.611,43.074
3.861,43.794
4.615,43.904
4.816,43.169
4.863,42.409
4.852,41.647
4.839,40.885
4.809,40.123
4.811,39.361
4.811,38.599
4.807,37.837
4.806,37.075
4.821,36.313
4.829,35.551
4.847,34.789
4.849,34.027
4.856,33.265
4.868,32.503
4.915,31.743
4.944,30.981
4.968,30.22
4.957,29.458
4.965,28.696
4.96,27.934
5.004,27.173
5.019,26.411
5.006,25.649
4.987,24.887
4.974,24.125
4.953,23.364
4.954,22.601
4.944,21.84
4.947,21.077
4.95,20.315
4.986,19.554
4.985,18.792
5.017,18.031
5.015,17.269
5.029,16.507
5.003,15.745
5.117,14.992
5.727,14.535
6.485,14.457
7.244,14.384
8.005,14.353
8.766,14.313
9.527,14.275
10.289,14.241
11.051,14.239
11.812,14.205
12.574,14.195
13.336,14.182
14.098,14.164
14.858,14.119
15.62,14.091
16.381,14.055
17.142,14.021
17.903,13.97
18.663,13.925
19.425,13.894
20.187,13.876
20.947,13.829
21.707,13.77
22.467,13.71
23.228,13.681
23.989,13.631
24.75,13.618
25.512,13.594
26.274,13.581
27.036,13.576
27.798,13.573
28.56,13.55
29.322,13.555
30.083,13.526
30.845,13.506
31.606,13.47
32.367,13.419
33.127,13.36
33.888,13.324
34.65,13.311
35.412,13.304
36.173,13.269
36.933,13.22
37.692,13.149
38.454,13.129
39.215,13.097
39.977,13.066
40.737,13.015
41.499,12.986
42.26,12.957
43.022,12.942
43.781,12.877
44.542,12.829
45.298,12.739
46.056,12.659
46.815,12.591
47.576,12.541
48.336,12.491
49.096,12.432
49.839,12.261
50.417,11.765
50.588,11.023
50.628,10.262
50.611,9.5
50.58,8.738
50.543,7.977
50.529,7.215
50.503,6.454
50.478,5.692
50.427,4.932
50.388,4.171
50.389,3.409
50.412,2.647
50.376,1.886
