EX(m),EY(m)
49.292,1.739
49.304,2.487
49.321,3.236
49.365,3.983
49.399,4.731
49.464,5.476
49.552,6.22
49.632,6.964
49.698,7.71
49.737,8.457
49.8,9.203
49.8,9.951
49.8,10.7
49.051,10.7
48.303,10.7
47.554,10.699
46.807,10.735
46.059,10.771
45.312,10.816
44.565,10.86
43.82,10.94
43.073,10.982
42.326,11.034
41.578,11.061
40.832,11.118
40.084,11.141
39.337,11.193
38.591,11.256
37.851,11.369
37.105,11.424
36.361,11.511
35.615,11.577
34.874,11.677
34.13,11.766
33.385,11.837
32.638,11.883
31.89,11.919
31.142,11.948
30.396,12.004
29.651,12.079
28.904,12.126
28.156,12.161
27.411,12.23
26.664,12.273
22.898,10.936
22.149,10.932
21.401,10.963
20.653,10.945
19.905,10.919
19.156,10.905
18.408,10.93
17.66,10.942
16.912,10.97
16.164,10.988
15.415,11.008
14.667,11.008
13.918,11.008
13.17,11.0
12.421,10.995
11.673,10.967
10.925,10.965
10.177,10.924
9.429,10.94
8.681,10.902
7.933,10.886
7.185,10.862
6.436,10.842
5.688,10.815
4.94,10.81
4.192,10.77
3.444,10.743
2.697,10.7
1.949,10.7
1.2,10.7
1.2,11.449
1.2,12.197
1.2,12.946
1.218,13.694
1.289,14.439
1.342,15.186
1.425,15.93
1.439,16.678
1.468,17.426
1.479,18.175
1.546,18.92
1.605,19.666
1.636,20.414
1.679,21.162
1.755,21.906
1.819,22.652
1.835,23.4
1.822,24.149
1.854,24.897
1.864,25.645
1.86,26.394
1.853,27.142
1.847,27.891
1.808,28.638
1.843,29.386
1.844,30.134
1.85,30.883
1.83,31.631
1.813,32.38
1.774,33.127
1.755,33.875
1.73,34.624
1.768,35.371
1.782,36.12
1.812,36.868
1.805,37.616
1.834,38.364
1.844,39.112
1.88,39.86
2.18,40.546
2.893,40.772
3.159,40.072
3.089,39.327
3.03,38.581
2.966,37.835
2.928,37.087
2.876,36.341
2.859,35.592
2.823,34.845
2.828,34.096
2.811,33.348
2.799,32.599
2.755,31.852
2.747,31.103
2.731,30.355
2.73,29.607
2.728,28.858
2.778,28.111
2.774,27.363
2.74,26.615
2.679,25.869
2.665,25.12
0.872,24.914
0.9,24.166
0.891,23.417
0.892,22.669
0.882,21.92
0.897,21.172
0.887,20.423
0.906,19.675
0.928,18.927
0.983,18.18
1.016,17.432
1.058,16.685
1.089,15.937
1.141,15.19
1.151,14.442
1.162,13.694
1.17,12.945
1.2,12.197
1.2,11.449
1.2,10.7
1.949,10.7
2.697,10.7
3.445,10.719
4.192,10.774
4.94,10.794
5.686,10.855
6.434,10.898
7.181,10.935
7.927,10.996
8.672,11.069
9.418,11.133
10.16,11.23
10.905,11.304
11.654,11.313
12.402,11.324
13.149,11.365
13.898,11.392
14.643,11.457
15.39,11.504
16.137,11.553
16.885,11.587
17.631,11.645
18.38,11.657
19.128,11.691
19.875,11.725
20.622,11.777
21.369,11.827
22.115,11.881
22.864,11.907
23.611,11.942
24.36,11.955
28.1,10.912
28.849,10.907
29.597,10.886
30.345,10.884
31.094,10.867
31.842,10.869
32.591,10.864
33.339,10.839
34.087,10.824
34.836,10.817
35.584,10.839
36.332,10.855
37.081,10.879
37.829,10.873
38.578,10.881
39.326,10.867
40.075,10.858
40.823,10.853
41.571,10.868
42.32,10.872
43.068,10.878
43.817,10.868
44.565,10.882
45.313,10.846
46.061,10.811
46.807,10.758
47.556,10.748
48.303,10.7
49.051,10.7
49.8,10.7
49.8,9.951
49.8,9.203
49.763,8.455
49.687,7.711
49.643,6.963
49.581,6.217
49.564,5.469
49.526,4.722
49.463,3.976
49.335,3.238
49.255,2.494
49.214,1.746
