userid,floorid,timestamp,magn_x,magn_y,magn_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021595,-9.805298,-10.142517,-41.119385
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021596,-9.95636,-10.292053,-41.26892
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021615,-10.105896,-11.192322,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021636,-10.55603,-9.092712,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021658,-9.655762,-9.992981,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021677,-10.705566,-9.992981,-41.719055
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021696,-9.805298,-9.393311,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021716,-9.205627,-9.992981,-40.96985
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021737,-11.006165,-9.242249,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021759,-9.805298,-9.843445,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021777,-9.506226,-8.343506,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021797,-8.906555,-9.992981,-41.719055
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021816,-9.056091,-8.792114,-41.119385
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021838,-9.655762,-11.042786,-42.019653
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021857,-9.506226,-8.343506,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021877,-7.7056885,-9.092712,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021897,-8.155823,-8.493042,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021917,-9.506226,-8.792114,-44.569397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021937,-9.205627,-9.242249,-43.218994
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021960,-8.006287,-8.343506,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021979,-8.755493,-8.792114,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059021998,-8.006287,-8.792114,-42.619324
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022018,-8.755493,-7.5927734,-42.619324
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022039,-8.906555,-8.493042,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022062,-9.205627,-8.493042,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022080,-8.155823,-9.692383,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022099,-9.056091,-8.792114,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022119,-9.056091,-7.5927734,-41.86859
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022139,-8.906555,-9.992981,-43.969727
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022160,-8.605957,-9.692383,-43.969727
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022179,-8.305359,-9.092712,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022200,-8.605957,-9.242249,-42.019653
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022220,-7.5561523,-10.292053,-43.218994
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022240,-8.006287,-8.792114,-41.86859
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022260,-7.255554,-8.343506,-44.119263
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022280,-8.906555,-9.692383,-43.969727
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022300,-7.255554,-9.092712,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022321,-8.605957,-9.692383,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022341,-9.205627,-9.992981,-44.2688
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022361,-9.056091,-9.092712,-44.119263
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022381,-10.55603,-9.843445,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022401,-8.305359,-8.042908,-42.91992
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022421,-9.205627,-9.242249,-44.2688
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022442,-8.755493,-8.792114,-42.16919
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022461,-7.8567505,-8.493042,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022482,-8.906555,-9.992981,-42.019653
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022502,-9.205627,-8.493042,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022523,-9.205627,-6.692505,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022542,-7.5561523,-8.493042,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022562,-8.305359,-8.792114,-42.619324
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022583,-8.605957,-9.692383,-43.218994
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022604,-8.155823,-8.493042,-44.718933
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022623,-9.056091,-9.092712,-43.36853
