X(m),Y(m)
49.800, 1.950
49.793, 2.766
49.798, 3.536
49.814, 4.322
49.806, 5.134
49.800, 5.918
49.813, 6.718
49.787, 7.528
49.822, 8.305
49.800, 9.100
49.787, 9.906
49.791, 10.704
49.018, 10.696
48.220, 10.675
47.421, 10.705
46.650, 10.696
45.871, 10.700
45.098, 10.693
44.313, 10.702
43.525, 10.703
42.746, 10.701
41.955, 10.708
41.183, 10.711
40.392, 10.710
39.603, 10.689
38.810, 10.697
38.051, 10.700
37.258, 10.707
36.462, 10.707
35.682, 10.698
34.894, 10.700
34.096, 10.708
33.330, 10.719
32.547, 10.698
31.784, 10.709
30.955, 10.704
30.204, 10.718
29.409, 10.720
28.626, 10.711
27.855, 10.698
27.076, 10.700
26.304, 10.696
25.490, 10.712
24.725, 10.716
23.927, 10.697
23.123, 10.711
22.382, 10.720
21.585, 10.699
20.806, 10.704
20.008, 10.712
19.212, 10.701
18.441, 10.714
17.658, 10.702
16.869, 10.712
16.091, 10.725
15.334, 10.712
14.510, 10.695
13.735, 10.702
12.973, 10.712
12.182, 10.697
11.391, 10.729
10.588, 10.720
9.828, 10.715
9.048, 10.704
8.255, 10.709
7.483, 10.697
6.711, 10.686
5.920, 10.709
5.096, 10.705
4.325, 10.710
3.534, 10.701
2.779, 10.699
1.983, 10.707
1.200, 10.707
1.195, 11.440
1.199, 12.238
1.200, 13.010
1.217, 13.755
1.197, 14.541
1.191, 15.303
1.203, 16.075
1.193, 16.825
1.190, 17.608
1.201, 18.348
1.193, 19.126
1.214, 19.905
1.217, 20.657
1.198, 21.426
1.201, 22.183
1.211, 22.946
1.209, 23.703
1.204, 24.489
1.191, 25.227
1.194, 26.000
1.206, 26.781
1.202, 27.531
1.213, 28.298
1.207, 29.047
1.195, 29.819
1.200, 30.580
1.208, 31.373
1.186, 32.121
1.194, 32.895
1.204, 33.636
1.184, 34.434
1.197, 35.202
1.194, 35.918
1.189, 36.716
1.185, 37.510
1.197, 38.230
1.183, 39.000
1.179, 39.777
1.197, 40.536
1.192, 41.313
1.212, 41.313
1.207, 40.567
1.229, 39.771
1.227, 39.031
1.206, 38.271
1.211, 37.493
1.201, 36.722
1.185, 35.955
1.214, 35.189
1.221, 34.414
1.207, 33.655
1.216, 32.907
1.210, 32.122
1.230, 31.376
1.207, 30.612
1.202, 29.835
1.215, 29.064
1.227, 28.296
1.225, 27.529
1.209, 26.761
1.222, 26.003
1.220, 25.248
1.213, 24.491
1.227, 23.707
1.192, 22.960
1.208, 22.172
1.216, 21.400
1.223, 20.647
1.210, 19.905
1.215, 19.141
1.225, 18.378
1.219, 17.603
1.212, 16.826
1.217, 16.064
1.212, 15.296
1.216, 14.528
1.213, 13.753
1.224, 13.004
1.205, 12.217
1.200, 11.453
1.222, 10.709
1.996, 10.708
2.788, 10.718
3.567, 10.703
4.348, 10.708
5.130, 10.710
5.925, 10.717
6.687, 10.706
7.477, 10.706
8.286, 10.715
9.040, 10.719
9.841, 10.695
10.613, 10.693
11.413, 10.707
12.205, 10.710
12.971, 10.720
13.762, 10.704
14.546, 10.707
15.336, 10.714
16.105, 10.739
16.889, 10.706
17.679, 10.709
18.455, 10.707
19.237, 10.705
20.040, 10.730
20.804, 10.720
21.594, 10.707
22.397, 10.713
23.175, 10.702
23.914, 10.703
24.725, 10.700
25.521, 10.710
26.289, 10.700
27.081, 10.715
27.872, 10.723
28.639, 10.717
29.428, 10.715
30.214, 10.702
30.981, 10.706
31.774, 10.704
32.581, 10.713
33.361, 10.711
34.124, 10.700
34.915, 10.713
35.698, 10.721
36.490, 10.713
37.235, 10.703
38.047, 10.700
38.834, 10.720
39.607, 10.718
40.391, 10.710
41.173, 10.704
41.962, 10.718
42.742, 10.712
43.527, 10.713
44.307, 10.705
45.095, 10.721
45.885, 10.713
46.689, 10.695
47.453, 10.717
48.235, 10.710
49.018, 10.710
49.791, 10.714
49.783, 9.994
49.805, 9.261
49.787, 8.538
49.800, 7.788
49.791, 7.046
49.783, 6.318
49.797, 5.602
49.786, 4.871
49.791, 4.135
49.790, 3.400
49.784, 2.717
49.801, 1.936
