segid,coordx,coordy,wifiinfos
seg17,47.41,10.7,6c:b0:ce:29:5a:72|-68.0;d4:94:e8:1e:ad:90|-73.0;d4:94:e8:1e:8c:60|-61.0;f4:cb:52:00:4e:68|-79.0;d4:94:e8:1e:8c:00|-60.0;f4:cb:52:00:4e:64|-67.0;8c:a6:df:9c:40:0d|-76.0;d4:94:e8:1e:8b:80|-73.0;d4:94:e8:02:27:e0|-61.0;ac:a2:13:3d:c1:55|-75.0;d4:94:e8:19:a3:f0|-58.0;d8:15:0d:a0:d7:ca|-72.0;d4:94:e8:21:67:a0|-46.0;d4:94:e8:21:67:b0|-59.0;d4:94:e8:21:3f:90|-55.0;d4:94:e8:1a:33:90|-81.0;d4:94:e8:1e:8d:00|-47.0;d4:94:e8:02:27:90|-85.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:34:70|-48.0;d4:94:e8:1e:ad:80|-63.0;d4:94:e8:1e:8c:70|-80.0;d4:94:e8:1e:8c:10|-78.0;8c:ab:8e:e3:50:90|-86.0;08:57:00:5b:58:a2|-61.0;9c:21:6a:7f:bf:7c|-74.0;d4:94:e8:1e:8d:10|-61.0;10:9f:a9:2d:e3:59|-76.0;d4:94:e8:21:3f:80|-21.0;d4:94:e8:1a:33:80|-63.0;d4:94:e8:1e:8d:30|-56.0;48:7d:2e:d3:d9:50|-68.0;d4:94:e8:1e:88:60|-72.0
seg17,46.613,10.7,6c:b0:ce:29:5a:72|-68.0;d4:94:e8:1e:ad:90|-73.0;d4:94:e8:1e:8c:60|-61.0;f4:cb:52:00:4e:68|-79.0;d4:94:e8:1e:8c:00|-60.0;f4:cb:52:00:4e:64|-67.0;8c:a6:df:9c:40:0d|-76.0;d4:94:e8:1e:8b:80|-73.0;d4:94:e8:02:27:e0|-61.0;ac:a2:13:3d:c1:55|-75.0;d4:94:e8:19:a3:f0|-58.0;d8:15:0d:a0:d7:ca|-72.0;d4:94:e8:21:67:a0|-46.0;d4:94:e8:21:67:b0|-59.0;d4:94:e8:21:3f:90|-59.0;d4:94:e8:1a:33:90|-81.0;d4:94:e8:1e:8d:00|-47.0;d4:94:e8:02:27:90|-85.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:34:70|-48.0;d4:94:e8:1e:ad:80|-63.0;d4:94:e8:1e:8c:70|-80.0;d4:94:e8:1e:8c:10|-78.0;8c:ab:8e:e3:50:90|-86.0;08:57:00:5b:58:a2|-61.0;9c:21:6a:7f:bf:7c|-74.0;d4:94:e8:1e:8d:10|-61.0;10:9f:a9:2d:e3:59|-76.0;d4:94:e8:21:3f:80|-21.0;d4:94:e8:1a:33:80|-63.0;d4:94:e8:1e:8d:30|-56.0;48:7d:2e:d3:d9:50|-68.0;d4:94:e8:1e:88:60|-72.0
seg17,45.816,10.7,6c:b0:ce:29:5a:72|-68.0;d4:94:e8:1e:ad:90|-73.0;d4:94:e8:1e:8c:60|-61.0;f4:cb:52:00:4e:68|-79.0;d4:94:e8:1e:8c:00|-60.0;f4:cb:52:00:4e:64|-67.0;8c:a6:df:9c:40:0d|-76.0;d4:94:e8:1e:8b:80|-73.0;d4:94:e8:02:27:e0|-61.0;ac:a2:13:3d:c1:55|-75.0;d4:94:e8:19:a3:f0|-58.0;d8:15:0d:a0:d7:ca|-72.0;d4:94:e8:21:67:a0|-46.0;d4:94:e8:21:67:b0|-59.0;d4:94:e8:21:3f:90|-67.0;d4:94:e8:1a:33:90|-81.0;d4:94:e8:1e:8d:00|-47.0;d4:94:e8:02:27:90|-85.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:34:70|-48.0;d4:94:e8:1e:ad:80|-63.0;d4:94:e8:1e:8c:70|-80.0;d4:94:e8:1e:8c:10|-78.0;8c:ab:8e:e3:50:90|-86.0;08:57:00:5b:58:a2|-61.0;9c:21:6a:7f:bf:7c|-74.0;d4:94:e8:1e:8d:10|-61.0;10:9f:a9:2d:e3:59|-76.0;d4:94:e8:21:3f:80|-21.0;d4:94:e8:1a:33:80|-63.0;d4:94:e8:1e:8d:30|-56.0;48:7d:2e:d3:d9:50|-68.0;d4:94:e8:1e:88:60|-72.0
seg17,44.223,10.7,6c:b0:ce:29:5a:72|-68.0;d4:94:e8:1e:ad:90|-73.0;d4:94:e8:1e:8c:60|-61.0;f4:cb:52:00:4e:68|-79.0;d4:94:e8:1e:8c:00|-60.0;f4:cb:52:00:4e:64|-67.0;8c:a6:df:9c:40:0d|-76.0;d4:94:e8:1e:8b:80|-73.0;d4:94:e8:02:27:e0|-61.0;ac:a2:13:3d:c1:55|-75.0;d4:94:e8:19:a3:f0|-58.0;d8:15:0d:a0:d7:ca|-72.0;d4:94:e8:21:67:a0|-46.0;d4:94:e8:21:67:b0|-59.0;d4:94:e8:21:3f:90|-73.0;d4:94:e8:1a:33:90|-81.0;d4:94:e8:1e:8d:00|-47.0;d4:94:e8:02:27:90|-85.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:34:70|-48.0;d4:94:e8:1e:ad:80|-63.0;d4:94:e8:1e:8c:70|-80.0;d4:94:e8:1e:8c:10|-78.0;8c:ab:8e:e3:50:90|-86.0;08:57:00:5b:58:a2|-61.0;9c:21:6a:7f:bf:7c|-74.0;d4:94:e8:1e:8d:10|-61.0;10:9f:a9:2d:e3:59|-76.0;d4:94:e8:21:3f:80|-21.0;d4:94:e8:1a:33:80|-63.0;d4:94:e8:1e:8d:30|-56.0;48:7d:2e:d3:d9:50|-68.0;d4:94:e8:1e:88:60|-72.0
seg17,40.239,10.7,6c:b0:ce:29:5a:72|-68.0;d4:94:e8:1e:ad:90|-73.0;d4:94:e8:1e:8c:60|-61.0;f4:cb:52:00:4e:68|-79.0;d4:94:e8:1e:8c:00|-60.0;f4:cb:52:00:4e:64|-67.0;8c:a6:df:9c:40:0d|-76.0;d4:94:e8:1e:8b:80|-73.0;d4:94:e8:02:27:e0|-46.0;ac:a2:13:3d:c1:55|-75.0;d4:94:e8:19:a3:f0|-58.0;d8:15:0d:a0:d7:ca|-72.0;d4:94:e8:21:67:a0|-46.0;d4:94:e8:21:67:b0|-59.0;d4:94:e8:21:3f:90|-73.0;d4:94:e8:1e:8d:20|-59.5;d4:94:e8:1a:33:90|-81.0;d4:94:e8:1e:8d:00|-48.0;d4:94:e8:02:27:90|-85.0;d4:94:e8:21:6a:b0|-65.0;d4:94:e8:21:34:70|-44.0;d4:94:e8:1e:ad:80|-63.0;d4:94:e8:1e:8c:70|-80.0;d4:94:e8:1e:8c:10|-78.0;8c:ab:8e:e3:50:90|-86.0;08:57:00:5b:58:a2|-61.0;9c:21:6a:7f:bf:7c|-74.0;d4:94:e8:1e:8d:10|-54.0;10:9f:a9:2d:e3:59|-59.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:21:3f:80|-21.0;d4:94:e8:1a:33:80|-63.0;d4:94:e8:1e:8d:30|-52.0;48:7d:2e:d3:d9:50|-68.0;d4:94:e8:1e:88:60|-72.0
seg17,38.646,10.7,d4:94:e8:21:6a:b0|-65.0;d4:94:e8:02:27:e0|-46.0;d4:94:e8:21:34:70|-44.0;10:9f:a9:2d:e3:59|-59.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:1e:8d:20|-42.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:1e:8d:00|-48.0;d4:94:e8:1e:8d:10|-54.0
seg17,37.849,10.7,d4:94:e8:21:6a:b0|-65.0;d4:94:e8:02:27:e0|-46.0;d4:94:e8:21:34:70|-44.0;10:9f:a9:2d:e3:59|-59.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:1e:8d:20|-44.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:1e:8d:00|-48.0;d4:94:e8:1e:8d:10|-54.0
seg18,33.866,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-62.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-48.0;10:9f:a9:2d:e3:59|-61.0;d4:94:e8:02:27:60|-66.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-42.0;d4:94:e8:1e:8d:30|-46.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-44.0;d4:94:e8:1e:8d:10|-47.0
seg18,33.069,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-62.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-48.0;10:9f:a9:2d:e3:59|-61.0;d4:94:e8:02:27:60|-66.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-35.0;d4:94:e8:1e:8d:30|-46.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-44.0;d4:94:e8:1e:8d:10|-47.0
seg18,32.272,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-62.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-48.0;10:9f:a9:2d:e3:59|-61.0;d4:94:e8:02:27:60|-66.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-33.0;d4:94:e8:1e:8d:30|-46.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-44.0;d4:94:e8:1e:8d:10|-47.0
