segid,coordx,coordy,wifiinfos
tra01,1.2,10.7,d4:94:e8:19:a6:d0|-83.0;d4:94:e8:1e:a2:70|-59.0;d4:94:e8:1e:af:20|-63.0;00:22:aa:ac:a0:34|-69.5;d4:94:e8:21:34:60|-58.0;d4:94:e8:21:27:30|-77.1;00:06:f4:af:50:20|-76.6;8c:ab:8e:73:33:88|-72.0;d4:94:e8:21:27:50|-72.8;0c:4b:54:f5:5f:5e|-79.0;2c:30:33:f4:6f:35|-84.0;d0:ee:07:62:be:52|-70.5;d4:94:e8:21:28:70|-64.4;d4:94:e8:21:24:d0|-74.3;d4:94:e8:21:27:90|-83.6;d4:94:e8:21:28:50|-87.0;d4:94:e8:21:6b:20|-66.6;d4:94:e8:21:67:00|-71.3;d4:94:e8:21:66:c0|-68.0;d4:94:e8:1e:ac:a0|-58.4;d4:94:e8:21:6a:b0|-82.0;d4:94:e8:21:28:f0|-61.3;d4:94:e8:21:26:f0|-73.5;ee:26:ca:a8:f2:f8|-63.9;00:24:01:7a:8c:c8|-63.8;d4:ee:07:62:be:52|-49.5;d4:94:e8:21:3f:80|-76.5;d4:94:e8:1e:8d:20|-42.0;d4:94:e8:21:3d:60|-58.8;d4:94:e8:1c:cb:b0|-83.0;d4:94:e8:1e:8d:00|-39.2;d4:94:e8:1e:af:30|-83.3;d4:94:e8:1e:a2:60|-60.9;d4:94:e8:19:a6:c0|-63.5;d4:94:e8:21:34:70|-68.3;d4:94:e8:21:27:40|-67.0;d4:94:e8:1e:ae:80|-69.0;d4:94:e8:21:27:60|-62.0;8c:ab:8e:e3:50:90|-71.1;d4:94:e8:21:6b:30|-70.8;d4:94:e8:21:24:c0|-70.1;d4:94:e8:21:67:10|-69.6;d4:94:e8:21:28:60|-66.0;00:27:19:2c:10:c4|-51.1;ec:3d:fd:0a:b7:62|-86.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:66:d0|-77.8;d4:94:e8:21:6a:a0|-59.4;d4:94:e8:21:0a:b0|-73.9;d4:94:e8:02:27:60|-69.7;d4:94:e8:21:67:b0|-81.0;d4:94:e8:1e:95:c0|-69.0;d4:94:e8:1e:8d:30|-52.1;d4:94:e8:21:27:b0|-83.3;d4:94:e8:21:3d:70|-45.3;d4:94:e8:21:27:70|-75.3;ee:26:ca:ac:f2:f8|-74.2;d4:94:e8:1e:8d:10|-49.6;f0:b4:29:28:f1:e7|-73.0
tra01,1.988,10.7,d4:94:e8:1e:a2:70|-54.2;d4:94:e8:1e:af:20|-63.0;00:22:aa:ac:a0:34|-68.5;d4:94:e8:21:34:60|-54.5;d4:94:e8:21:27:30|-79.8;00:06:f4:af:50:20|-77.0;d4:94:e8:21:27:50|-72.2;0c:4b:54:f5:5f:5e|-81.0;2c:30:33:f4:6f:35|-84.0;d0:ee:07:62:be:52|-68.0;d4:94:e8:21:28:70|-63.5;d4:94:e8:21:24:d0|-73.8;d4:94:e8:21:27:90|-84.2;d4:94:e8:21:28:50|-87.0;d4:94:e8:21:6b:20|-48.0;d4:94:e8:21:67:00|-66.7;d4:94:e8:21:66:c0|-68.0;d4:94:e8:1e:ac:a0|-55.3;d4:94:e8:21:6a:b0|-82.8;d4:94:e8:21:28:f0|-59.2;d4:94:e8:21:66:d0|-79.5;d4:94:e8:21:26:f0|-68.8;ee:26:ca:a8:f2:f8|-58.2;00:24:01:7a:8c:c8|-63.2;d4:94:e8:21:34:70|-59.2;d4:94:e8:21:3f:80|-77.0;d4:94:e8:1e:8d:20|-43.0;d4:94:e8:21:3d:60|-48.0;d4:94:e8:1e:8d:00|-41.8;d4:94:e8:1e:af:30|-85.0;d4:94:e8:1e:a2:60|-56.7;d4:94:e8:19:a6:c0|-60.7;d4:ee:07:62:be:52|-45.2;d4:94:e8:21:27:40|-67.0;d4:94:e8:21:27:60|-61.0;8c:ab:8e:e3:50:90|-71.5;d4:94:e8:21:6b:30|-68.8;d4:94:e8:21:24:c0|-70.0;d4:94:e8:21:67:10|-69.5;d4:94:e8:21:28:60|-60.0;00:27:19:2c:10:c4|-52.8;8c:ab:8e:73:33:88|-72.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:6a:a0|-65.3;d4:94:e8:21:0a:b0|-76.8;d4:94:e8:02:27:60|-68.7;d4:94:e8:21:67:b0|-81.0;d4:94:e8:1e:95:c0|-69.0;d4:94:e8:1e:8d:30|-46.5;d4:94:e8:21:27:b0|-81.2;d4:94:e8:21:3d:70|-43.8;d4:94:e8:21:27:70|-75.8;ee:26:ca:ac:f2:f8|-73.8;d4:94:e8:1e:8d:10|-48.2;f0:b4:29:28:f1:e7|-73.0
tra01,2.791,10.7,d4:94:e8:19:a6:d0|-81.0;d4:94:e8:1e:a2:70|-63.2;00:22:aa:ac:a0:34|-68.8;d4:94:e8:21:34:60|-59.2;d4:94:e8:21:27:30|-81.0;00:06:f4:af:50:20|-74.3;d4:94:e8:21:27:50|-74.7;2c:30:33:f4:6f:35|-84.0;d0:ee:07:62:be:52|-71.4;d4:94:e8:21:28:70|-72.8;d4:94:e8:21:24:d0|-75.0;d4:94:e8:21:27:90|-85.7;d4:94:e8:21:6b:20|-48.0;d4:94:e8:21:67:00|-76.0;d4:94:e8:1e:ac:a0|-58.0;d4:94:e8:21:6a:b0|-82.2;d4:94:e8:21:28:f0|-66.5;d4:94:e8:21:66:d0|-78.7;d4:94:e8:21:26:f0|-72.7;d4:ee:07:62:be:52|-48.8;ee:26:ca:a8:f2:f8|-66.0;00:24:01:7a:8c:c8|-62.0;8c:ab:8e:73:33:88|-72.0;d4:94:e8:1e:8d:20|-36.5;d4:94:e8:21:3d:60|-60.0;d4:94:e8:1c:cb:b0|-83.0;d4:94:e8:1e:8d:00|-36.0;d4:94:e8:1e:af:30|-85.0;d4:94:e8:1e:a2:60|-62.0;d4:94:e8:19:a6:c0|-64.0;d4:94:e8:21:34:70|-63.6;d4:94:e8:1e:ae:80|-69.0;d4:94:e8:21:27:40|-67.0;d4:94:e8:21:27:60|-63.0;8c:ab:8e:e3:50:90|-69.6;d4:94:e8:21:6b:30|-76.0;d4:94:e8:21:24:c0|-68.0;d4:94:e8:21:67:10|-67.7;d4:94:e8:21:28:60|-60.0;00:27:19:2c:10:c4|-54.8;ec:3d:fd:0a:b7:62|-86.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:21:6a:a0|-62.0;d4:94:e8:21:0a:b0|-78.7;d4:94:e8:02:27:60|-68.3;d4:94:e8:21:3f:80|-73.0;d4:94:e8:1e:95:c0|-69.0;d4:94:e8:1e:8d:30|-48.2;d4:94:e8:21:27:b0|-82.0;d4:94:e8:21:3d:70|-50.2;d4:94:e8:21:27:70|-78.5;ee:26:ca:ac:f2:f8|-77.6;d4:94:e8:1e:8d:10|-46.6
tra01,3.552,10.7,d4:94:e8:19:a6:d0|-83.0;d4:94:e8:1e:a2:70|-72.2;d4:94:e8:1e:af:20|-63.0;00:22:aa:ac:a0:34|-70.0;d4:94:e8:21:34:60|-55.7;d4:94:e8:21:27:30|-79.0;00:06:f4:af:50:20|-80.0;d4:94:e8:21:27:50|-69.0;0c:4b:54:f5:5f:5e|-79.5;d0:ee:07:62:be:52|-73.8;d4:94:e8:21:28:70|-78.3;d4:94:e8:21:24:d0|-72.0;d4:94:e8:21:27:90|-83.0;d4:94:e8:21:28:50|-87.0;d4:94:e8:21:6b:20|-74.0;d4:94:e8:21:67:00|-62.0;d4:94:e8:21:66:c0|-68.0;d4:94:e8:1e:ac:a0|-54.0;d4:94:e8:21:6a:b0|-83.2;d4:94:e8:21:28:f0|-76.3;d4:94:e8:21:26:f0|-77.0;ee:26:ca:a8:f2:f8|-68.8;d4:ee:07:62:be:52|-49.8;d4:94:e8:21:67:b0|-81.0;d4:94:e8:1e:8d:20|-39.7;d4:94:e8:21:3d:60|-56.5;d4:94:e8:1c:cb:b0|-83.0;d4:94:e8:1e:8d:00|-37.5;d4:94:e8:21:67:10|-71.0;d4:94:e8:1e:af:30|-85.0;d4:94:e8:1e:a2:60|-54.0;d4:94:e8:19:a6:c0|-60.5;d4:94:e8:21:34:70|-65.5;d4:94:e8:1e:ae:80|-69.0;d4:94:e8:21:27:60|-60.0;8c:ab:8e:e3:50:90|-68.5;d4:94:e8:21:6b:30|-84.2;d4:94:e8:21:24:c0|-71.0;00:24:01:7a:8c:c8|-62.0;00:27:19:2c:10:c4|-54.2;ec:3d:fd:0a:b7:62|-86.0;d4:94:e8:21:6a:a0|-60.0;d4:94:e8:21:0a:b0|-75.0;d4:94:e8:02:27:60|-68.7;d4:94:e8:21:3f:80|-75.3;d4:94:e8:1e:8d:30|-50.8;d4:94:e8:21:27:b0|-81.0;d4:94:e8:21:3d:70|-53.2;d4:94:e8:21:27:70|-82.3;ee:26:ca:ac:f2:f8|-78.5;d4:94:e8:1e:8d:10|-43.0;f0:b4:29:28:f1:e7|-73.0
tra01,4.286,10.7,d4:94:e8:19:a6:d0|-85.0;d4:94:e8:1e:a2:70|-77.5;d4:94:e8:21:34:60|-58.5;0c:4b:54:f5:5f:5e|-78.0;d0:ee:07:62:be:52|-78.0;d4:94:e8:21:28:70|-88.0;d4:94:e8:1c:cb:b0|-83.0;d4:94:e8:21:6b:20|-74.0;d4:94:e8:21:6a:b0|-84.5;d4:94:e8:21:28:f0|-85.0;d4:94:e8:21:26:f0|-89.0;ee:26:ca:a8:f2:f8|-73.5;d4:94:e8:02:27:70|-75.0;d4:ee:07:62:be:52|-49.0;d4:94:e8:1e:8d:20|-43.0;d4:94:e8:21:3d:60|-57.0;d4:94:e8:1e:8d:00|-27.0;d4:94:e8:19:a6:c0|-62.0;d4:94:e8:21:34:70|-69.5;8c:ab:8e:e3:50:90|-68.0;d4:94:e8:21:6b:30|-89.5;00:24:01:7a:8c:c8|-59.5;00:27:19:2c:10:c4|-53.0;ec:3d:fd:0a:b7:62|-86.0;d4:94:e8:21:6a:a0|-53.0;d4:94:e8:02:27:60|-65.0;d4:94:e8:21:3f:80|-76.0;d4:94:e8:1e:8d:30|-52.5;d4:94:e8:21:3d:70|-55.0;d4:94:e8:21:27:70|-86.0;ee:26:ca:ac:f2:f8|-78.5;d4:94:e8:1e:8d:10|-44.0
tra01,5.057,10.7,d4:94:e8:19:a6:d0|-85.0;d4:94:e8:1e:a2:70|-77.5;d4:94:e8:21:34:60|-58.5;d4:94:e8:1e:ae:90|-84.0;0c:4b:54:f5:5f:5e|-78.0;d0:ee:07:62:be:52|-78.0;d4:94:e8:21:28:70|-88.0;d4:94:e8:1c:cb:b0|-85.0;d4:94:e8:21:6b:20|-74.0;d4:94:e8:21:6a:b0|-84.5;d4:94:e8:21:28:f0|-85.0;d4:94:e8:21:26:f0|-89.0;ee:26:ca:a8:f2:f8|-73.5;d4:94:e8:02:27:70|-75.5;d4:ee:07:62:be:52|-49.0;d4:94:e8:1e:8d:20|-43.0;d4:94:e8:21:3d:60|-57.0;d4:94:e8:1e:8d:00|-27.0;d4:94:e8:19:a6:c0|-62.0;d4:94:e8:21:34:70|-68.0;d4:94:e8:1e:ae:80|-48.0;8c:ab:8e:e3:50:90|-68.0;d4:94:e8:21:6b:30|-89.5;00:24:01:7a:8c:c8|-59.5;00:27:19:2c:10:c4|-53.0;ec:3d:fd:0a:b7:62|-84.0;d4:94:e8:21:6a:a0|-53.0;10:9f:a9:2d:e3:59|-68.0;d4:94:e8:02:27:60|-65.0;d4:94:e8:21:3f:80|-76.0;d4:94:e8:1e:8d:30|-52.0;d4:94:e8:21:3d:70|-55.0;d4:94:e8:21:27:70|-86.0;ee:26:ca:ac:f2:f8|-78.5;d4:94:e8:1e:8d:10|-44.0
tra01,5.184,10.7,d4:94:e8:19:a6:d0|-81.0;d4:94:e8:1e:a2:70|-80.0;00:22:aa:ac:a0:34|-70.0;d0:ee:07:62:be:52|-73.0;d4:94:e8:21:28:70|-88.0;d4:94:e8:21:6a:b0|-80.0;d4:94:e8:02:27:e0|-69.0;ee:26:ca:a8:f2:f8|-72.0;d4:94:e8:02:27:70|-81.0;d4:ee:07:62:be:52|-57.0;d4:94:e8:1e:8d:20|-32.0;d4:94:e8:21:3d:60|-64.0;d4:94:e8:19:a6:c0|-60.0;d4:94:e8:21:34:70|-68.0;d4:94:e8:1e:ae:80|-69.0;d4:94:e8:1a:0f:e0|-73.0;8c:ab:8e:e3:50:90|-66.0;d4:94:e8:21:6b:30|-88.0;00:24:01:7a:8c:c8|-64.0;00:27:19:2c:10:c4|-59.0;ec:3d:fd:0a:b7:62|-86.0;d4:94:e8:02:27:60|-72.0;d4:94:e8:21:3f:80|-73.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:3d:70|-60.0;ee:26:ca:ac:f2:f8|-84.0;d4:94:e8:1e:8d:10|-37.0
tra01,5.829,10.7,d4:94:e8:19:a6:d0|-85.0;d4:94:e8:1e:a2:70|-80.0;d4:94:e8:21:34:60|-57.0;d4:94:e8:1e:ae:90|-84.0;0c:4b:54:f5:5f:5e|-78.0;d0:ee:07:62:be:52|-80.0;d4:94:e8:21:28:70|-88.0;d4:94:e8:1c:cb:b0|-87.0;d4:94:e8:21:6b:20|-74.0;d4:94:e8:21:6a:b0|-83.0;d4:94:e8:21:28:f0|-85.0;d4:94:e8:21:26:f0|-89.0;ee:26:ca:a8:f2:f8|-74.0;d4:94:e8:02:27:70|-76.0;d4:ee:07:62:be:52|-49.0;d4:94:e8:1e:8d:20|-43.0;d4:94:e8:21:3d:60|-58.0;d4:94:e8:1e:8d:00|-27.0;d4:94:e8:19:a6:c0|-58.0;d4:94:e8:21:34:70|-69.0;d4:94:e8:1e:ae:80|-48.0;8c:ab:8e:e3:50:90|-66.0;d4:94:e8:21:6b:30|-91.0;00:24:01:7a:8c:c8|-58.0;00:27:19:2c:10:c4|-52.0;ec:3d:fd:0a:b7:62|-82.0;d4:94:e8:21:6a:a0|-53.0;10:9f:a9:2d:e3:59|-68.0;d4:94:e8:21:3f:80|-76.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:3d:70|-55.0;d4:94:e8:21:27:70|-86.0;ee:26:ca:ac:f2:f8|-79.0;d4:94:e8:1e:8d:10|-42.0
tra01,5.98,10.7,d4:94:e8:19:a6:d0|-81.0;d4:94:e8:1e:a2:70|-80.0;00:22:aa:ac:a0:34|-70.0;d0:ee:07:62:be:52|-73.0;d4:94:e8:21:28:70|-88.0;d4:94:e8:21:6a:b0|-80.0;d4:94:e8:02:27:e0|-69.0;ee:26:ca:a8:f2:f8|-72.0;d4:94:e8:02:27:70|-81.0;d4:ee:07:62:be:52|-57.0;d4:94:e8:1e:8d:20|-32.0;d4:94:e8:21:3d:60|-64.0;d4:94:e8:19:a6:c0|-60.0;d4:94:e8:21:34:70|-68.0;d4:94:e8:1e:ae:80|-69.0;d4:94:e8:1a:0f:e0|-73.0;8c:ab:8e:e3:50:90|-66.0;d4:94:e8:21:6b:30|-88.0;00:24:01:7a:8c:c8|-64.0;00:27:19:2c:10:c4|-59.0;ec:3d:fd:0a:b7:62|-86.0;d4:94:e8:02:27:60|-72.0;d4:94:e8:21:3f:80|-73.0;d4:94:e8:1e:8d:30|-51.0;d4:94:e8:21:3d:70|-60.0;ee:26:ca:ac:f2:f8|-84.0;d4:94:e8:1e:8d:10|-37.0
tra01,6.516,10.7,d4:94:e8:1e:a2:70|-80.0;d4:94:e8:1e:af:20|-68.0;00:22:aa:ac:a0:34|-68.0;d4:94:e8:21:34:60|-59.0;d4:94:e8:21:27:30|-82.0;00:06:f4:af:50:20|-75.0;d4:94:e8:21:27:50|-73.0;0c:4b:54:f5:5f:5e|-81.0;d0:ee:07:62:be:52|-77.0;d4:94:e8:21:28:70|-67.0;d4:94:e8:21:24:d0|-74.0;d4:94:e8:21:27:90|-86.0;d4:94:e8:21:6b:20|-48.0;d4:94:e8:21:6a:b0|-77.0;d4:94:e8:21:28:f0|-62.0;d4:94:e8:21:66:d0|-77.0;d4:94:e8:21:26:f0|-73.0;ee:26:ca:a8:f2:f8|-64.0;d4:ee:07:62:be:52|-49.0;d4:94:e8:21:3f:90|-87.0;00:24:01:7a:8c:c8|-64.0;d4:94:e8:1e:8d:00|-37.0;d4:94:e8:1e:a2:60|-73.0;d4:94:e8:21:34:70|-58.0;d4:94:e8:21:27:60|-63.0;8c:ab:8e:e3:50:90|-81.0;d4:94:e8:21:6b:30|-83.0;d4:94:e8:21:24:c0|-68.0;d4:94:e8:21:67:10|-67.0;00:27:19:2c:10:c4|-58.0;30:fc:68:d1:9a:99|-75.0;d4:94:e8:02:27:60|-67.0;d4:94:e8:21:0a:b0|-79.0;d4:94:e8:1e:8d:30|-44.0;d4:94:e8:21:27:b0|-83.0;d4:94:e8:21:3d:70|-60.0;d4:94:e8:21:27:70|-75.0;ee:26:ca:ac:f2:f8|-86.0;d4:94:e8:1e:8d:10|-43.0
