Count,Dist(max),Dist(min)
3.0,0.521,0.322
4.0,0.54,0.323
5.0,0.55,0.325
6.0,0.549,0.323
7.0,0.556,0.33
8.0,0.568,0.335
9.0,0.572,0.335
10.0,0.57,0.331
11.0,0.567,0.335
12.0,0.561,0.356
13.0,0.558,0.361
14.0,0.558,0.373
15.0,0.56,0.375
16.0,0.564,0.381
17.0,0.56,0.381
18.0,0.558,0.381
19.0,0.558,0.393
20.0,0.553,0.397
21.0,0.552,0.409
22.0,0.554,0.407
23.0,0.56,0.411
24.0,0.56,0.41
25.0,0.563,0.415
26.0,0.558,0.433
27.0,0.558,0.432
28.0,0.557,0.434
29.0,0.555,0.441
30.0,0.556,0.435
31.0,0.566,0.439
32.0,0.573,0.451
33.0,0.573,0.466
34.0,0.585,0.474
35.0,0.577,0.475
36.0,0.571,0.483
37.0,0.566,0.485
38.0,0.554,0.489
39.0,0.552,0.5
40.0,0.546,0.543
41.0,0.535,0.535
