Count,Dist(max),Dist(min)
3.0,0.714,0.653
4.0,0.724,0.665
5.0,0.756,0.702
6.0,0.77,0.71
7.0,0.771,0.699
8.0,0.767,0.694
9.0,0.773,0.682
10.0,0.768,0.68
11.0,0.76,0.668
12.0,0.755,0.663
13.0,0.751,0.662
14.0,0.746,0.663
15.0,0.739,0.67
16.0,0.734,0.674
17.0,0.733,0.675
18.0,0.73,0.68
19.0,0.726,0.684
20.0,0.722,0.687
21.0,0.719,0.686
22.0,0.712,0.683
23.0,0.702,0.684
24.0,0.699,0.684
25.0,0.698,0.683
26.0,0.696,0.677
27.0,0.694,0.677
28.0,0.702,0.673
29.0,0.706,0.675
30.0,0.713,0.673
31.0,0.722,0.722
