Count,Dist(max),Dist(min)
3.0,0.813,0.752
4.0,0.817,0.757
5.0,0.833,0.777
6.0,0.839,0.779
7.0,0.847,0.79
8.0,0.854,0.801
9.0,0.857,0.803
10.0,0.872,0.812
11.0,0.883,0.813
12.0,0.891,0.812
13.0,0.9,0.812
14.0,0.907,0.819
15.0,0.912,0.824
16.0,0.917,0.833
17.0,0.922,0.837
18.0,0.926,0.845
19.0,0.93,0.853
20.0,0.934,0.861
21.0,0.937,0.867
22.0,0.943,0.872
23.0,0.948,0.882
24.0,0.953,0.887
25.0,0.96,0.896
26.0,0.964,0.902
27.0,0.971,0.909
28.0,0.971,0.921
29.0,0.969,0.933
30.0,0.968,0.942
31.0,0.966,0.953
32.0,0.964,0.959
33.0,0.966,0.957
34.0,0.967,0.955
35.0,0.967,0.954
36.0,0.966,0.952
37.0,0.965,0.943
38.0,0.964,0.937
39.0,0.963,0.929
40.0,0.963,0.963
