Count,Dist(max),Dist(min)
3.0,0.87,0.826
4.0,0.883,0.836
5.0,0.895,0.852
6.0,0.906,0.867
7.0,0.916,0.881
8.0,0.926,0.896
9.0,0.935,0.905
10.0,0.941,0.915
11.0,0.945,0.922
12.0,0.948,0.926
13.0,0.952,0.932
14.0,0.955,0.936
15.0,0.956,0.939
16.0,0.958,0.943
17.0,0.96,0.946
18.0,0.961,0.949
19.0,0.963,0.951
20.0,0.964,0.954
21.0,0.966,0.956
22.0,0.97,0.96
23.0,0.973,0.964
24.0,0.977,0.966
25.0,0.982,0.97
26.0,0.987,0.976
27.0,0.99,0.98
28.0,0.99,0.982
29.0,0.989,0.981
30.0,0.989,0.981
31.0,0.988,0.98
32.0,0.988,0.978
33.0,0.987,0.974
34.0,0.985,0.967
35.0,0.975,0.964
36.0,0.967,0.961
37.0,0.955,0.955
