Count,Dist(max),Dist(min)
3.0,0.565,0.342
4.0,0.579,0.352
5.0,0.573,0.359
6.0,0.585,0.353
7.0,0.591,0.361
8.0,0.585,0.363
9.0,0.59,0.367
10.0,0.593,0.369
11.0,0.595,0.37
12.0,0.596,0.374
13.0,0.596,0.387
14.0,0.597,0.383
15.0,0.592,0.393
16.0,0.596,0.396
17.0,0.591,0.405
18.0,0.592,0.4
19.0,0.588,0.396
20.0,0.588,0.397
21.0,0.589,0.397
22.0,0.589,0.396
23.0,0.584,0.393
24.0,0.577,0.385
25.0,0.575,0.392
26.0,0.57,0.394
27.0,0.572,0.39
28.0,0.576,0.389
29.0,0.578,0.379
30.0,0.578,0.386
31.0,0.574,0.382
32.0,0.561,0.389
33.0,0.559,0.393
34.0,0.547,0.396
35.0,0.542,0.395
36.0,0.528,0.404
37.0,0.523,0.414
38.0,0.512,0.419
