Count,Dist(max),Dist(min)
3.0,0.902,0.773
4.0,0.913,0.772
5.0,0.9,0.77
6.0,0.893,0.772
7.0,0.889,0.771
8.0,0.887,0.773
9.0,0.884,0.774
10.0,0.883,0.773
11.0,0.881,0.776
12.0,0.879,0.786
13.0,0.877,0.788
14.0,0.88,0.796
15.0,0.881,0.8
16.0,0.883,0.805
17.0,0.882,0.804
18.0,0.883,0.802
19.0,0.882,0.801
20.0,0.888,0.801
21.0,0.893,0.808
22.0,0.893,0.807
23.0,0.891,0.807
24.0,0.892,0.811
25.0,0.894,0.82
26.0,0.897,0.83
27.0,0.904,0.841
28.0,0.912,0.85
29.0,0.92,0.857
30.0,0.93,0.864
31.0,0.933,0.868
32.0,0.938,0.879
33.0,0.943,0.883
34.0,0.947,0.891
35.0,0.952,0.902
36.0,0.955,0.913
37.0,0.962,0.922
38.0,0.966,0.929
39.0,0.973,0.959
