userid,floorid,timestamp,wifiinfos
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632914893,00:27:19:2c:10:c4|-55;00:24:01:7a:8c:c8|-64;8c:ab:8e:e3:50:88|-66;ee:26:ca:a8:f2:f8|-71;44:6e:e5:df:f1:a2|-75;2c:30:33:f4:6f:36|-90;d4:94:e8:1e:a2:60|-46;d4:94:e8:21:3d:60|-45;d4:94:e8:1e:8d:00|-53;d4:94:e8:1e:8d:20|-56;d4:94:e8:21:6b:20|-60;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-66;d4:94:e8:21:27:60|-73;d4:94:e8:1e:af:20|-67;d4:94:e8:21:0a:a0|-74;d4:94:e8:21:26:e0|-73;d4:94:e8:21:28:60|-73;d4:94:e8:21:67:00|-71;d4:94:e8:19:a6:c0|-74;00:06:f4:af:50:10|-75;d4:94:e8:21:27:80|-82;d4:94:e8:18:0f:a0|-84;d4:94:e8:21:28:a0|-86;bc:46:99:9f:99:c6|-79;d4:94:e8:1e:ac:a0|-76;d4:94:e8:21:27:40|-81;d4:94:e8:21:24:c0|-81;d4:94:e8:15:8c:c0|-83
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632916010,00:27:19:2c:10:c4|-51;00:24:01:7a:8c:c8|-68;8c:ab:8e:e3:50:88|-65;ee:26:ca:a8:f2:f8|-71;44:6e:e5:df:f1:a2|-72;2c:30:33:f4:6f:36|-90;d4:94:e8:1e:a2:60|-46;d4:94:e8:21:3d:60|-41;d4:94:e8:1e:8d:00|-53;d4:94:e8:1e:8d:20|-57;d4:94:e8:21:6b:20|-62;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-66;d4:94:e8:21:27:60|-77;d4:94:e8:1e:af:20|-64;d4:94:e8:21:0a:a0|-70;d4:94:e8:21:26:e0|-73;d4:94:e8:21:67:00|-75;d4:94:e8:19:a6:c0|-81;00:06:f4:af:50:10|-75;d4:94:e8:21:27:80|-82;bc:46:99:9f:99:c6|-79;d4:94:e8:1e:ac:a0|-72;d4:94:e8:21:27:40|-81;d4:94:e8:21:24:c0|-81;d4:94:e8:15:8c:c0|-83;f0:b4:29:28:f1:e7|-83;d4:94:e8:21:66:c0|-79
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632917218,00:27:19:2c:10:c4|-51;00:24:01:7a:8c:c8|-67;8c:ab:8e:e3:50:88|-69;ee:26:ca:a8:f2:f8|-69;44:6e:e5:df:f1:a2|-72;2c:30:33:f4:6f:36|-86;d4:94:e8:1e:a2:60|-49;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:00|-56;d4:94:e8:1e:8d:20|-60;d4:94:e8:21:6b:20|-59;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-66;d4:94:e8:21:27:60|-72;d4:94:e8:1e:af:20|-64;d4:94:e8:21:0a:a0|-61;d4:94:e8:21:26:e0|-70;d4:94:e8:21:67:00|-72;d4:94:e8:19:a6:c0|-78;00:06:f4:af:50:10|-71;d4:94:e8:21:27:80|-82;bc:46:99:9f:99:c6|-78;d4:94:e8:1e:ac:a0|-72;d4:94:e8:21:27:40|-80;d4:94:e8:21:24:c0|-81;d4:94:e8:15:8c:c0|-83;f0:b4:29:28:f1:e7|-83;d4:94:e8:21:66:c0|-75;56:13:79:a7:fb:b5|-90;d4:94:e8:1a:3f:e0|-71;d4:94:e8:02:27:a0|-77;d4:94:e8:21:23:a0|-81
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632918446,00:27:19:2c:10:c4|-57;00:24:01:7a:8c:c8|-66;8c:ab:8e:e3:50:88|-61;ee:26:ca:a8:f2:f8|-69;44:6e:e5:df:f1:a2|-81;2c:30:33:f4:6f:36|-89;d4:94:e8:1e:a2:60|-47;d4:94:e8:21:3d:60|-41;d4:94:e8:1e:8d:00|-50;d4:94:e8:1e:8d:20|-52;d4:94:e8:21:6b:20|-63;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-66;d4:94:e8:21:27:60|-68;d4:94:e8:1e:af:20|-64;d4:94:e8:21:0a:a0|-61;d4:94:e8:21:26:e0|-70;d4:94:e8:21:67:00|-72;d4:94:e8:19:a6:c0|-78;00:06:f4:af:50:10|-71;d4:94:e8:21:27:80|-82;bc:46:99:9f:99:c6|-78;d4:94:e8:1e:ac:a0|-70;d4:94:e8:21:27:40|-72;d4:94:e8:21:24:c0|-81;d4:94:e8:15:8c:c0|-83;f0:b4:29:28:f1:e7|-83;d4:94:e8:21:66:c0|-75;56:13:79:a7:fb:b5|-90;d4:94:e8:1a:3f:e0|-71;d4:94:e8:02:27:a0|-77;d4:94:e8:21:23:a0|-81;fc:d7:33:fe:96:2d|-81;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-77
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632919595,00:27:19:2c:10:c4|-58;00:24:01:7a:8c:c8|-64;8c:ab:8e:e3:50:88|-59;ee:26:ca:a8:f2:f8|-63;44:6e:e5:df:f1:a2|-73;2c:30:33:f4:6f:36|-89;d4:94:e8:1e:a2:60|-49;d4:94:e8:21:3d:60|-41;d4:94:e8:1e:8d:00|-56;d4:94:e8:1e:8d:20|-42;d4:94:e8:21:6b:20|-62;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-66;d4:94:e8:21:27:60|-68;d4:94:e8:1e:af:20|-61;d4:94:e8:21:0a:a0|-66;d4:94:e8:21:26:e0|-68;d4:94:e8:21:67:00|-72;d4:94:e8:19:a6:c0|-78;00:06:f4:af:50:10|-71;bc:46:99:9f:99:c6|-78;d4:94:e8:1e:ac:a0|-70;d4:94:e8:21:27:40|-72;d4:94:e8:21:24:c0|-83;d4:94:e8:15:8c:c0|-83;f0:b4:29:28:f1:e7|-83;d4:94:e8:21:66:c0|-74;56:13:79:a7:fb:b5|-90;d4:94:e8:1a:3f:e0|-71;d4:94:e8:02:27:a0|-77;d4:94:e8:21:23:a0|-81;fc:d7:33:fe:96:2d|-81;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-67
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632920764,00:27:19:2c:10:c4|-52;00:24:01:7a:8c:c8|-64;8c:ab:8e:e3:50:88|-51;ee:26:ca:a8:f2:f8|-63;44:6e:e5:df:f1:a2|-71;2c:30:33:f4:6f:36|-85;d4:94:e8:1e:a2:60|-52;d4:94:e8:21:3d:60|-36;d4:94:e8:1e:8d:00|-48;d4:94:e8:1e:8d:20|-46;d4:94:e8:21:6b:20|-65;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-57;d4:94:e8:21:27:60|-68;d4:94:e8:1e:af:20|-61;d4:94:e8:21:0a:a0|-66;d4:94:e8:21:26:e0|-68;d4:94:e8:21:67:00|-72;d4:94:e8:19:a6:c0|-78;00:06:f4:af:50:10|-71;bc:46:99:9f:99:c6|-78;d4:94:e8:1e:ac:a0|-62;d4:94:e8:21:27:40|-78;d4:94:e8:21:24:c0|-78;d4:94:e8:15:8c:c0|-83;f0:b4:29:28:f1:e7|-77;d4:94:e8:21:66:c0|-74;56:13:79:a7:fb:b5|-90;d4:94:e8:1a:3f:e0|-71;d4:94:e8:02:27:a0|-77;d4:94:e8:21:23:a0|-81;fc:d7:33:fe:96:2d|-81;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-67;d4:94:e8:21:34:60|-60;d4:94:e8:21:27:a0|-78
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632921859,00:27:19:2c:10:c4|-56;00:24:01:7a:8c:c8|-64;8c:ab:8e:e3:50:88|-49;ee:26:ca:a8:f2:f8|-71;44:6e:e5:df:f1:a2|-71;2c:30:33:f4:6f:36|-85;d4:94:e8:1e:a2:60|-50;d4:94:e8:21:3d:60|-35;d4:94:e8:1e:8d:00|-40;d4:94:e8:1e:8d:20|-44;d4:94:e8:21:6b:20|-65;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-57;d4:94:e8:21:27:60|-72;d4:94:e8:1e:af:20|-55;d4:94:e8:21:0a:a0|-66;d4:94:e8:21:26:e0|-68;d4:94:e8:21:67:00|-69;d4:94:e8:19:a6:c0|-78;00:06:f4:af:50:10|-71;bc:46:99:9f:99:c6|-78;d4:94:e8:1e:ac:a0|-62;d4:94:e8:21:27:40|-78;d4:94:e8:21:24:c0|-78;f0:b4:29:28:f1:e7|-78;d4:94:e8:21:66:c0|-74;d4:94:e8:1a:3f:e0|-71;d4:94:e8:02:27:a0|-77;d4:94:e8:21:23:a0|-81;fc:d7:33:fe:96:2d|-81;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-67;d4:94:e8:21:34:60|-60;d4:94:e8:21:27:a0|-78;00:22:aa:ac:a0:34|-64;8c:ab:8e:73:33:88|-71
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632922976,00:27:19:2c:10:c4|-58;00:24:01:7a:8c:c8|-62;8c:ab:8e:e3:50:88|-47;ee:26:ca:a8:f2:f8|-53;44:6e:e5:df:f1:a2|-66;2c:30:33:f4:6f:36|-85;d4:94:e8:1e:a2:60|-39;d4:94:e8:21:3d:60|-28;d4:94:e8:1e:8d:00|-36;d4:94:e8:1e:8d:20|-40;d4:94:e8:21:6b:20|-65;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-57;d4:94:e8:21:27:60|-72;d4:94:e8:1e:af:20|-53;d4:94:e8:21:0a:a0|-66;d4:94:e8:21:26:e0|-68;d4:94:e8:21:67:00|-69;d4:94:e8:19:a6:c0|-78;00:06:f4:af:50:10|-71;bc:46:99:9f:99:c6|-78;d4:94:e8:1e:ac:a0|-60;d4:94:e8:21:27:40|-78;d4:94:e8:21:24:c0|-78;f0:b4:29:28:f1:e7|-78;d4:94:e8:21:66:c0|-74;d4:94:e8:1a:3f:e0|-71;d4:94:e8:02:27:a0|-77;d4:94:e8:21:23:a0|-81;fc:d7:33:fe:96:2d|-81;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-67;d4:94:e8:21:34:60|-60;d4:94:e8:21:27:a0|-78;00:22:aa:ac:a0:34|-64;8c:ab:8e:73:33:88|-71;e8:4e:06:31:81:3b|-83
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632924077,00:27:19:2c:10:c4|-59;00:24:01:7a:8c:c8|-61;8c:ab:8e:e3:50:88|-51;ee:26:ca:a8:f2:f8|-53;44:6e:e5:df:f1:a2|-65;2c:30:33:f4:6f:36|-85;d4:94:e8:1e:a2:60|-40;d4:94:e8:21:3d:60|-29;d4:94:e8:1e:8d:00|-35;d4:94:e8:1e:8d:20|-37;d4:94:e8:21:6b:20|-63;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-57;d4:94:e8:21:27:60|-72;d4:94:e8:1e:af:20|-54;d4:94:e8:21:0a:a0|-66;d4:94:e8:21:26:e0|-68;d4:94:e8:21:67:00|-69;00:06:f4:af:50:10|-71;d4:94:e8:1e:ac:a0|-60;d4:94:e8:21:27:40|-78;d4:94:e8:21:24:c0|-78;f0:b4:29:28:f1:e7|-75;d4:94:e8:21:66:c0|-74;fc:d7:33:fe:96:2d|-74;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-67;d4:94:e8:21:34:60|-60;d4:94:e8:21:27:a0|-78;00:22:aa:ac:a0:34|-67;8c:ab:8e:73:33:88|-71;e8:4e:06:31:81:3b|-83
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519632925112,00:27:19:2c:10:c4|-59;00:24:01:7a:8c:c8|-60;8c:ab:8e:e3:50:88|-54;ee:26:ca:a8:f2:f8|-53;44:6e:e5:df:f1:a2|-61;2c:30:33:f4:6f:36|-85;d4:94:e8:1e:a2:60|-52;d4:94:e8:21:3d:60|-33;d4:94:e8:1e:8d:00|-53;d4:94:e8:1e:8d:20|-40;d4:94:e8:21:6b:20|-67;d4:94:e8:21:28:e0|-64;e4:c2:d1:f4:57:e0|-57;d4:94:e8:21:27:60|-72;d4:94:e8:1e:af:20|-58;d4:94:e8:21:0a:a0|-66;d4:94:e8:21:26:e0|-68;d4:94:e8:21:67:00|-69;d4:94:e8:1e:ac:a0|-60;d4:94:e8:21:27:40|-78;d4:94:e8:21:24:c0|-78;f0:b4:29:28:f1:e7|-75;d4:94:e8:21:66:c0|-74;fc:d7:33:fe:96:2d|-74;d4:94:e8:21:28:60|-65;d4:94:e8:21:6a:a0|-67;d4:94:e8:21:34:60|-53;d4:94:e8:21:27:a0|-78;00:22:aa:ac:a0:34|-71;8c:ab:8e:73:33:88|-71;e8:4e:06:31:81:3b|-83;d4:94:e8:21:67:a0|-71
