userid,floorid,timestamp,magn_x,magn_y,magn_z
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183263,10.8,-14.6,-16.0
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183284,10.8,-14.6,-15.0
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183287,10.8,-14.1,-15.4
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183307,10.8,-15.4,-13.9
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183328,11.2,-15.4,-13.4
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183349,11.2,-15.4,-14.4
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183371,11.2,-15.0,-14.4
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183389,11.8,-15.7,-13.2
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183410,11.8,-15.7,-13.7
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183430,11.8,-15.7,-14.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183449,11.8,-15.7,-14.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183469,11.8,-15.7,-12.9
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183489,11.8,-16.1,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183509,11.8,-15.7,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183530,12.2,-15.3,-11.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183549,12.2,-15.7,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183568,12.2,-15.7,-12.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183591,12.2,-15.7,-13.3
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183609,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183637,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183657,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183677,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183698,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183717,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183738,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183759,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183777,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183801,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183816,12.6,-15.7,-12.6
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183837,12.6,-15.7,-12.2
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183856,12.6,-15.7,-12.2
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183877,12.6,-15.7,-12.2
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183898,12.6,-15.7,-12.2
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183920,12.6,-15.7,-12.2
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183937,12.6,-15.7,-12.8
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183957,12.6,-15.7,-12.8
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633183977,12.6,-15.7,-12.8
