mac,id
d4:a1:48:e3:69:ec,wap001
b8:08:d7:98:7c:68,wap002
00:22:aa:ac:a0:34,wap003
d4:94:e8:18:0f:a0,wap004
c2:46:19:40:1b:96,wap005
12:02:b5:7d:6a:6d,wap006
cc:34:29:94:e3:c4,wap007
a6:f1:e8:02:28:db,wap008
fc:d7:33:fe:96:2f,wap009
d4:94:e8:21:27:50,wap010
fc:d7:33:fe:96:2d,wap011
d8:15:0d:0e:74:78,wap012
f4:cb:52:00:4e:68,wap013
24:69:68:69:b3:ea,wap014
f4:cb:52:00:4e:64,wap015
8c:a6:df:9c:40:0d,wap016
d4:4c:9c:80:a2:fa,wap017
d4:94:e8:02:27:f0,wap018
48:e2:44:5a:8c:39,wap019
d4:94:e8:1e:95:d0,wap020
40:b8:9a:ac:c3:03,wap021
d4:a1:48:e3:69:e8,wap022
d4:94:e8:21:26:20,wap023
d4:94:e8:19:a5:e0,wap024
d4:94:e8:1e:a3:e0,wap025
08:ed:b9:0d:52:6c,wap026
ee:26:ca:a8:f2:f8,wap027
d4:94:e8:21:5f:80,wap028
d4:94:e8:19:a0:20,wap029
d4:94:e8:21:27:a0,wap030
d4:94:e8:21:3f:90,wap031
d4:94:e8:21:3d:60,wap032
90:4e:2b:e5:74:ac,wap033
d4:94:e8:1e:8d:00,wap034
d4:94:e8:19:a7:80,wap035
a6:c4:94:20:f9:ae,wap036
d4:94:e8:1e:a5:a0,wap037
8c:ab:8e:73:33:88,wap038
d4:94:e8:1a:11:40,wap039
d4:94:e8:21:0b:40,wap040
d4:94:e8:02:29:80,wap041
00:06:f4:af:50:10,wap042
d4:94:e8:21:27:60,wap043
34:ce:00:0c:a2:45,wap044
e0:46:9a:52:40:e1,wap045
d4:94:e8:1a:3f:e0,wap046
d4:94:e8:21:28:b0,wap047
b8:08:d7:98:7c:64,wap048
d4:94:e8:1e:85:10,wap049
50:04:b8:b1:c7:17,wap050
88:44:77:b2:a5:e0,wap051
e8:4e:06:31:81:3b,wap052
a0:21:b7:bf:da:bc,wap053
d4:94:e8:1a:0f:f0,wap054
d4:94:e8:1a:33:80,wap055
d4:94:e8:21:27:b0,wap056
d4:94:e8:21:3d:70,wap057
d4:94:e8:1e:8d:10,wap058
00:27:19:5f:c8:4c,wap059
6c:b0:ce:29:5a:72,wap060
dc:ef:09:dd:67:14,wap061
cc:81:da:1d:08:20,wap062
d4:94:e8:02:1b:40,wap063
d4:94:e8:21:6b:00,wap064
9c:21:6a:29:7e:08,wap065
30:b4:9e:77:11:45,wap066
40:b8:9a:c1:38:bd,wap067
78:a1:06:a6:c2:14,wap068
d4:94:e8:21:0a:a0,wap069
d4:94:e8:1e:96:a0,wap070
d4:94:e8:1e:a6:00,wap071
68:a8:28:1d:a6:60,wap072
5e:cf:7f:da:51:97,wap073
d4:94:e8:21:28:70,wap074
d4:94:e8:1e:ac:b0,wap075
d4:94:e8:21:67:00,wap076
d4:94:e8:21:28:a0,wap077
ae:b6:d0:d9:08:a3,wap078
d4:94:e8:02:27:e0,wap079
ac:a2:13:3d:c1:55,wap080
8c:a6:df:f9:78:fd,wap081
d4:94:e8:1a:23:40,wap082
d4:94:e8:19:a3:f0,wap083
d8:15:0d:a0:d7:ca,wap084
94:53:30:0f:a8:58,wap085
d4:94:e8:21:6a:80,wap086
44:6e:e5:df:f1:a2,wap087
ea:9e:b4:23:a6:94,wap088
30:b4:9e:7b:ed:14,wap089
50:64:2b:0e:b4:1b,wap090
d4:94:e8:1a:33:90,wap091
