userid,floorid,coordx,coordy,timestamp,wifiinfos,orient
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070420403,d4:94:e8:21:6b:20|-63;00:24:01:7a:8c:c8|-59;00:27:19:2c:10:c4|-51;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-85;44:6e:e5:df:f1:a2|-78;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-62;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-64;d4:94:e8:21:28:f0|-64;d4:94:e8:21:3d:60|-50;d4:94:e8:1e:8d:10|-67;d4:94:e8:21:6b:30|-67;d4:94:e8:21:67:10|-70;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-78;d4:94:e8:21:27:60|-71;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-84;d4:94:e8:21:27:90|-85;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90,1.5224
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070420977,d4:94:e8:21:6b:20|-62;00:24:01:7a:8c:c8|-59;00:27:19:2c:10:c4|-51;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-85;44:6e:e5:df:f1:a2|-78;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-62;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-64;d4:94:e8:21:28:f0|-64;d4:94:e8:21:3d:60|-50;d4:94:e8:1e:8d:10|-67;d4:94:e8:21:6b:30|-67;d4:94:e8:21:67:10|-70;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-78;d4:94:e8:21:27:60|-71;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-84;d4:94:e8:21:27:90|-85;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90,1.4729
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070421559,d4:94:e8:21:6b:20|-62;00:24:01:7a:8c:c8|-59;00:27:19:2c:10:c4|-51;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-85;44:6e:e5:df:f1:a2|-78;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-62;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-64;d4:94:e8:21:28:f0|-64;d4:94:e8:21:3d:60|-50;d4:94:e8:1e:8d:10|-67;d4:94:e8:21:6b:30|-67;d4:94:e8:21:67:10|-70;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-78;d4:94:e8:21:27:60|-71;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-84;d4:94:e8:21:27:90|-85;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90,1.4524
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070422119,d4:94:e8:21:6b:20|-62;00:24:01:7a:8c:c8|-59;00:27:19:2c:10:c4|-51;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-85;44:6e:e5:df:f1:a2|-78;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-62;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-64;d4:94:e8:21:28:f0|-64;d4:94:e8:21:3d:60|-50;d4:94:e8:1e:8d:10|-67;d4:94:e8:21:6b:30|-67;d4:94:e8:21:67:10|-70;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-78;d4:94:e8:21:27:60|-71;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-84;d4:94:e8:21:27:90|-85;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90,1.4616
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070425002,d4:94:e8:21:6b:20|-62;00:24:01:7a:8c:c8|-62;00:27:19:2c:10:c4|-52;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-84;44:6e:e5:df:f1:a2|-79;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-61;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:10|-65;d4:94:e8:21:6b:30|-66;d4:94:e8:21:67:10|-69;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-76;d4:94:e8:21:27:60|-68;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-81;d4:94:e8:21:27:90|-84;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90;ee:26:ca:a8:f2:f8|-65;d4:94:e8:1e:a2:60|-55;d4:94:e8:1e:8d:20|-65;d4:94:e8:21:0a:a0|-75;d4:94:e8:21:66:d0|-85;d4:94:e8:1e:8d:30|-88,1.4769
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070425589,d4:94:e8:21:6b:20|-58;00:24:01:7a:8c:c8|-62;00:27:19:2c:10:c4|-52;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-84;44:6e:e5:df:f1:a2|-79;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-61;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:10|-65;d4:94:e8:21:6b:30|-66;d4:94:e8:21:67:10|-69;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-76;d4:94:e8:21:27:60|-68;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-81;d4:94:e8:21:27:90|-84;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90;ee:26:ca:a8:f2:f8|-65;d4:94:e8:1e:a2:60|-55;d4:94:e8:1e:8d:20|-65;d4:94:e8:21:0a:a0|-75;d4:94:e8:21:66:d0|-85;d4:94:e8:1e:8d:30|-88,1.4498
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070426150,d4:94:e8:21:6b:20|-57;00:24:01:7a:8c:c8|-62;00:27:19:2c:10:c4|-52;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-84;44:6e:e5:df:f1:a2|-79;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-61;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:10|-65;d4:94:e8:21:6b:30|-66;d4:94:e8:21:67:10|-69;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-76;d4:94:e8:21:27:60|-68;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-81;d4:94:e8:21:27:90|-84;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90;ee:26:ca:a8:f2:f8|-65;d4:94:e8:1e:a2:60|-55;d4:94:e8:1e:8d:20|-65;d4:94:e8:21:0a:a0|-75;d4:94:e8:21:66:d0|-85;d4:94:e8:1e:8d:30|-88,1.4366
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070426720,d4:94:e8:21:6b:20|-57;00:24:01:7a:8c:c8|-62;00:27:19:2c:10:c4|-52;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-84;44:6e:e5:df:f1:a2|-79;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-61;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:10|-65;d4:94:e8:21:6b:30|-66;d4:94:e8:21:67:10|-69;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-76;d4:94:e8:21:27:60|-68;d4:94:e8:21:0a:b0|-81;d4:94:e8:21:27:30|-84;d4:94:e8:21:27:50|-81;d4:94:e8:21:27:90|-84;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90;ee:26:ca:a8:f2:f8|-65;d4:94:e8:1e:a2:60|-55;d4:94:e8:1e:8d:20|-65;d4:94:e8:21:0a:a0|-75;d4:94:e8:21:66:d0|-85;d4:94:e8:1e:8d:30|-88,1.4534
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070429513,d4:94:e8:21:6b:20|-58;00:24:01:7a:8c:c8|-63;00:27:19:2c:10:c4|-53;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-84;44:6e:e5:df:f1:a2|-79;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-60;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-64;d4:94:e8:21:28:f0|-63;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:10|-64;d4:94:e8:21:6b:30|-65;d4:94:e8:21:67:10|-69;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-76;d4:94:e8:21:27:60|-67;d4:94:e8:21:0a:b0|-79;d4:94:e8:21:27:30|-85;d4:94:e8:21:27:50|-82;d4:94:e8:21:27:90|-83;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90;ee:26:ca:a8:f2:f8|-67;d4:94:e8:1e:a2:60|-55;d4:94:e8:1e:8d:20|-65;d4:94:e8:21:0a:a0|-67;d4:94:e8:21:66:d0|-85;d4:94:e8:1e:8d:30|-88;d4:94:e8:1e:8d:00|-57;d4:94:e8:21:28:e0|-62;d4:94:e8:21:26:e0|-66;d4:94:e8:21:28:60|-69,1.4301
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1.200,2.450,1515070430086,d4:94:e8:21:6b:20|-59;00:24:01:7a:8c:c8|-63;00:27:19:2c:10:c4|-53;ee:26:ca:ac:f2:f8|-81;2c:30:33:f4:6f:35|-84;44:6e:e5:df:f1:a2|-79;d4:94:e8:21:3d:70|-47;d4:94:e8:1e:a2:70|-60;d4:94:e8:21:28:70|-62;d4:94:e8:21:26:f0|-64;d4:94:e8:21:28:f0|-63;d4:94:e8:21:3d:60|-46;d4:94:e8:1e:8d:10|-64;d4:94:e8:21:6b:30|-65;d4:94:e8:21:67:10|-69;d4:94:e8:21:27:70|-74;d4:94:e8:21:24:d0|-76;d4:94:e8:21:27:60|-67;d4:94:e8:21:0a:b0|-79;d4:94:e8:21:27:30|-85;d4:94:e8:21:27:50|-82;d4:94:e8:21:27:90|-83;00:06:f4:af:50:20|-88;d4:94:e8:21:28:50|-90;ee:26:ca:a8:f2:f8|-67;d4:94:e8:1e:a2:60|-55;d4:94:e8:1e:8d:20|-65;d4:94:e8:21:0a:a0|-67;d4:94:e8:21:66:d0|-85;d4:94:e8:1e:8d:30|-88;d4:94:e8:1e:8d:00|-57;d4:94:e8:21:28:e0|-62;d4:94:e8:21:26:e0|-66;d4:94:e8:21:28:60|-69,1.4565
