Default Wi-Fi: -90.000000, Top K: 1, Accuracy: 91.719%
Default Wi-Fi: -90.000000, Top K: 3, Accuracy: 91.809%
Default Wi-Fi: -90.000000, Top K: 5, Accuracy: 91.719%
Default Wi-Fi: -90.000000, Top K: 7, Accuracy: 91.989%
Default Wi-Fi: -90.000000, Top K: 9, Accuracy: 92.169%
Default Wi-Fi: -90.000000, Top K: 11, Accuracy: 91.899%
Default Wi-Fi: -90.000000, Top K: 13, Accuracy: 91.899%
Default Wi-Fi: -90.000000, Top K: 15, Accuracy: 91.809%
Default Wi-Fi: -90.000000, Top K: 17, Accuracy: 91.539%
Default Wi-Fi: -90.000000, Top K: 19, Accuracy: 91.449%
Default Wi-Fi: -90.000000, Top K: 21, Accuracy: 91.179%
Default Wi-Fi: -90.000000, Top K: 23, Accuracy: 90.999%
Default Wi-Fi: -90.000000, Top K: 25, Accuracy: 91.089%
Default Wi-Fi: -90.000000, Top K: 27, Accuracy: 90.999%
Default Wi-Fi: -90.000000, Top K: 29, Accuracy: 90.909%
Default Wi-Fi: -90.000000, Top K: 31, Accuracy: 90.819%
Default Wi-Fi: -90.000000, Top K: 33, Accuracy: 90.819%
Default Wi-Fi: -90.000000, Top K: 35, Accuracy: 90.729%
Default Wi-Fi: -90.000000, Top K: 37, Accuracy: 90.819%
Default Wi-Fi: -90.000000, Top K: 39, Accuracy: 90.999%
Default Wi-Fi: -90.000000, Top K: 41, Accuracy: 90.819%
Default Wi-Fi: -91.000000, Top K: 1, Accuracy: 91.719%
Default Wi-Fi: -91.000000, Top K: 3, Accuracy: 92.169%
Default Wi-Fi: -91.000000, Top K: 5, Accuracy: 91.989%
Default Wi-Fi: -91.000000, Top K: 7, Accuracy: 91.899%
Default Wi-Fi: -91.000000, Top K: 9, Accuracy: 91.629%
Default Wi-Fi: -91.000000, Top K: 11, Accuracy: 91.719%
Default Wi-Fi: -91.000000, Top K: 13, Accuracy: 91.719%
Default Wi-Fi: -91.000000, Top K: 15, Accuracy: 91.809%
Default Wi-Fi: -91.000000, Top K: 17, Accuracy: 91.539%
Default Wi-Fi: -91.000000, Top K: 19, Accuracy: 91.539%
Default Wi-Fi: -91.000000, Top K: 21, Accuracy: 91.449%
Default Wi-Fi: -91.000000, Top K: 23, Accuracy: 91.269%
Default Wi-Fi: -91.000000, Top K: 25, Accuracy: 91.179%
Default Wi-Fi: -91.000000, Top K: 27, Accuracy: 90.819%
Default Wi-Fi: -91.000000, Top K: 29, Accuracy: 90.819%
Default Wi-Fi: -91.000000, Top K: 31, Accuracy: 90.729%
Default Wi-Fi: -91.000000, Top K: 33, Accuracy: 90.729%
Default Wi-Fi: -91.000000, Top K: 35, Accuracy: 90.639%
Default Wi-Fi: -91.000000, Top K: 37, Accuracy: 90.729%
Default Wi-Fi: -91.000000, Top K: 39, Accuracy: 90.909%
Default Wi-Fi: -91.000000, Top K: 41, Accuracy: 90.909%
Default Wi-Fi: -92.000000, Top K: 1, Accuracy: 91.719%
Default Wi-Fi: -92.000000, Top K: 3, Accuracy: 91.899%
Default Wi-Fi: -92.000000, Top K: 5, Accuracy: 92.169%
Default Wi-Fi: -92.000000, Top K: 7, Accuracy: 92.079%
Default Wi-Fi: -92.000000, Top K: 9, Accuracy: 91.899%
Default Wi-Fi: -92.000000, Top K: 11, Accuracy: 91.899%
Default Wi-Fi: -92.000000, Top K: 13, Accuracy: 91.719%
Default Wi-Fi: -92.000000, Top K: 15, Accuracy: 91.629%
Default Wi-Fi: -92.000000, Top K: 17, Accuracy: 91.719%
Default Wi-Fi: -92.000000, Top K: 19, Accuracy: 91.449%
Default Wi-Fi: -92.000000, Top K: 21, Accuracy: 91.539%
Default Wi-Fi: -92.000000, Top K: 23, Accuracy: 91.359%
Default Wi-Fi: -92.000000, Top K: 25, Accuracy: 91.449%
Default Wi-Fi: -92.000000, Top K: 27, Accuracy: 91.359%
Default Wi-Fi: -92.000000, Top K: 29, Accuracy: 91.269%
Default Wi-Fi: -92.000000, Top K: 31, Accuracy: 91.269%
Default Wi-Fi: -92.000000, Top K: 33, Accuracy: 91.269%
Default Wi-Fi: -92.000000, Top K: 35, Accuracy: 91.089%
Default Wi-Fi: -92.000000, Top K: 37, Accuracy: 91.089%
Default Wi-Fi: -92.000000, Top K: 39, Accuracy: 90.819%
Default Wi-Fi: -92.000000, Top K: 41, Accuracy: 90.819%
Default Wi-Fi: -93.000000, Top K: 1, Accuracy: 91.359%
Default Wi-Fi: -93.000000, Top K: 3, Accuracy: 91.899%
Default Wi-Fi: -93.000000, Top K: 5, Accuracy: 91.989%
Default Wi-Fi: -93.000000, Top K: 7, Accuracy: 91.989%
Default Wi-Fi: -93.000000, Top K: 9, Accuracy: 91.989%
Default Wi-Fi: -93.000000, Top K: 11, Accuracy: 91.899%
Default Wi-Fi: -93.000000, Top K: 13, Accuracy: 91.629%
Default Wi-Fi: -93.000000, Top K: 15, Accuracy: 91.629%
Default Wi-Fi: -93.000000, Top K: 17, Accuracy: 91.719%
Default Wi-Fi: -93.000000, Top K: 19, Accuracy: 91.629%
Default Wi-Fi: -93.000000, Top K: 21, Accuracy: 91.539%
Default Wi-Fi: -93.000000, Top K: 23, Accuracy: 91.449%
Default Wi-Fi: -93.000000, Top K: 25, Accuracy: 91.359%
Default Wi-Fi: -93.000000, Top K: 27, Accuracy: 91.179%
Default Wi-Fi: -93.000000, Top K: 29, Accuracy: 91.179%
Default Wi-Fi: -93.000000, Top K: 31, Accuracy: 91.089%
Default Wi-Fi: -93.000000, Top K: 33, Accuracy: 91.179%
Default Wi-Fi: -93.000000, Top K: 35, Accuracy: 90.999%
Default Wi-Fi: -93.000000, Top K: 37, Accuracy: 90.999%
Default Wi-Fi: -93.000000, Top K: 39, Accuracy: 90.999%
Default Wi-Fi: -93.000000, Top K: 41, Accuracy: 90.909%
Default Wi-Fi: -94.000000, Top K: 1, Accuracy: 91.269%
Default Wi-Fi: -94.000000, Top K: 3, Accuracy: 91.809%
Default Wi-Fi: -94.000000, Top K: 5, Accuracy: 91.899%
Default Wi-Fi: -94.000000, Top K: 7, Accuracy: 91.809%
Default Wi-Fi: -94.000000, Top K: 9, Accuracy: 91.899%
Default Wi-Fi: -94.000000, Top K: 11, Accuracy: 91.899%
Default Wi-Fi: -94.000000, Top K: 13, Accuracy: 91.719%
Default Wi-Fi: -94.000000, Top K: 15, Accuracy: 91.629%
Default Wi-Fi: -94.000000, Top K: 17, Accuracy: 91.539%
Default Wi-Fi: -94.000000, Top K: 19, Accuracy: 91.539%
Default Wi-Fi: -94.000000, Top K: 21, Accuracy: 91.359%
Default Wi-Fi: -94.000000, Top K: 23, Accuracy: 91.359%
Default Wi-Fi: -94.000000, Top K: 25, Accuracy: 91.359%
Default Wi-Fi: -94.000000, Top K: 27, Accuracy: 91.269%
Default Wi-Fi: -94.000000, Top K: 29, Accuracy: 91.269%
Default Wi-Fi: -94.000000, Top K: 31, Accuracy: 91.179%
Default Wi-Fi: -94.000000, Top K: 33, Accuracy: 91.179%
Default Wi-Fi: -94.000000, Top K: 35, Accuracy: 90.999%
Default Wi-Fi: -94.000000, Top K: 37, Accuracy: 90.999%
Default Wi-Fi: -94.000000, Top K: 39, Accuracy: 90.819%
Default Wi-Fi: -94.000000, Top K: 41, Accuracy: 90.639%
Default Wi-Fi: -95.000000, Top K: 1, Accuracy: 91.179%
Default Wi-Fi: -95.000000, Top K: 3, Accuracy: 91.719%
Default Wi-Fi: -95.000000, Top K: 5, Accuracy: 91.809%
Default Wi-Fi: -95.000000, Top K: 7, Accuracy: 91.629%
Default Wi-Fi: -95.000000, Top K: 9, Accuracy: 91.899%
Default Wi-Fi: -95.000000, Top K: 11, Accuracy: 91.899%
Default Wi-Fi: -95.000000, Top K: 13, Accuracy: 91.539%
Default Wi-Fi: -95.000000, Top K: 15, Accuracy: 91.629%
Default Wi-Fi: -95.000000, Top K: 17, Accuracy: 91.359%
Default Wi-Fi: -95.000000, Top K: 19, Accuracy: 91.359%
Default Wi-Fi: -95.000000, Top K: 21, Accuracy: 91.269%
