FLOORCODE,SPACEID
12,106
12,106
12,103
12,102
0,122
12,105
12,103
12,101
12,112
12,103
12,104
12,104
12,110
12,108
12,109
12,111
12,107
12,15
12,29
12,117
12,15
12,16
12,16
12,29
12,28
12,22
12,10
12,10
12,2
12,2
12,10
12,4
12,3
12,5
12,6
12,9
12,27
12,8
12,7
12,26
12,18
12,216
12,17
12,17
12,18
12,217
23,247
23,248
12,217
23,247
23,246
23,245
23,244
23,243
23,242
23,243
23,241
23,242
23,241
23,240
23,201
23,201
23,202
23,201
23,204
23,203
23,205
23,207
23,206
23,209
23,211
23,208
23,210
23,212
23,214
23,214
23,213
23,203
23,216
23,216
23,217
23,215
23,215
22,121
23,219
23,221
23,222
23,218
23,220
23,250
23,223
23,223
23,225
23,224
23,229
23,226
23,227
23,228
23,233
23,231
23,230
23,230
23,232
23,236
23,236
23,235
23,234
23,237
12,106
12,101
23,238
23,239
12,106
12,105
12,103
12,102
12,101
12,112
12,103
12,103
12,104
12,104
12,110
12,109
12,112
12,108
12,111
12,15
12,29
12,107
12,117
12,28
12,29
12,16
12,16
12,28
12,2
12,10
12,22
12,10
12,10
12,4
12,6
12,5
12,2
12,3
12,9
12,27
12,27
12,8
12,7
12,18
12,17
12,26
12,18
23,247
23,248
12,217
12,216
23,247
23,242
23,243
23,245
23,244
23,246
23,243
23,241
23,241
23,242
23,201
23,202
23,201
23,201
23,240
23,204
23,206
23,203
23,205
23,211
23,208
23,210
23,207
23,209
23,214
23,213
23,214
23,212
23,215
23,215
23,203
23,216
23,220
23,219
23,217
23,218
23,216
23,222
23,221
23,223
23,223
23,250
23,226
23,224
23,227
23,225
23,230
23,230
23,228
23,231
23,235
23,232
23,233
23,236
23,234
23,239
23,236
23,238
23,237
12,101
12,106
12,102
12,106
12,101
12,103
12,103
12,103
12,104
12,105
12,111
12,112
12,104
12,112
12,108
12,110
12,107
12,109
12,117
12,29
12,15
12,15
12,28
12,16
12,16
12,28
12,22
12,29
12,10
12,10
12,2
12,10
12,4
12,6
12,5
12,3
12,2
12,27
12,7
12,9
12,8
12,17
12,17
12,216
12,26
12,18
12,217
23,247
23,247
23,248
23,244
23,243
23,246
23,245
23,242
23,243
23,241
23,242
23,241
23,201
23,201
23,201
23,240
23,202
23,203
23,206
23,205
23,204
23,207
23,210
23,208
23,211
23,209
23,212
23,213
23,214
23,214
23,203
23,215
23,216
23,215
23,217
23,218
23,220
23,219
23,216
23,222
23,223
23,223
23,221
23,225
23,226
23,250
23,227
23,224
23,230
23,228
23,230
23,229
23,231
23,234
23,235
23,232
23,233
23,237
23,238
23,236
23,236
12,101
12,106
12,101
23,239
12,106
12,103
12,102
12,103
12,105
12,103
12,104
12,112
12,104
12,112
12,110
12,109
12,111
12,108
12,15
12,29
12,15
12,107
12,117
12,28
12,29
12,28
12,16
12,10
12,10
12,16
12,10
12,22
12,2
12,2
12,3
12,4
12,5
12,6
12,9
12,7
12,8
12,26
12,18
12,27
12,18
23,247
12,17
23,248
12,217
12,17
23,246
23,245
23,244
23,243
23,247
23,242
23,241
23,242
23,243
23,241
23,240
23,201
23,201
23,202
23,201
23,203
23,205
23,204
23,206
23,209
23,207
23,208
23,210
23,211
23,214
23,212
23,213
23,215
23,203
23,215
23,214
23,216
23,216
23,217
23,218
23,221
23,222
23,219
23,223
23,220
23,224
23,225
23,223
23,250
23,229
23,227
23,230
23,226
23,228
23,232
23,233
23,230
23,231
23,236
23,237
23,235
23,236
23,234
12,101
23,238
12,106
23,239
12,103
12,102
12,105
12,101
12,106
12,104
12,103
12,103
12,104
12,111
12,112
12,110
12,109
12,107
12,15
12,15
12,117
12,108
12,29
12,28
12,28
12,15
12,16
12,16
12,29
12,22
12,10
12,10
12,2
12,2
12,10
12,4
12,3
12,5
12,6
12,9
12,26
12,27
12,8
12,7
12,18
12,18
12,17
12,17
12,217
23,248
23,246
23,247
23,247
23,242
23,245
23,243
23,244
23,241
23,242
23,240
23,241
23,243
23,201
23,201
23,201
23,202
23,205
23,204
23,203
23,206
23,207
23,209
23,211
23,210
23,208
23,214
23,203
23,212
23,214
23,213
23,216
23,215
23,215
23,216
23,220
23,217
23,218
23,219
23,221
23,223
23,222
23,250
23,223
23,227
23,224
23,225
23,228
23,226
23,230
23,229
23,230
23,231
23,233
23,236
23,232
23,235
23,234
23,239
23,236
23,238
23,237
12,102
12,106
12,101
12,101
12,106
12,103
12,105
12,103
12,103
12,111
12,112
12,104
12,104
12,107
12,117
12,108
12,109
12,110
12,15
12,29
12,15
12,15
12,16
12,28
12,29
12,28
12,16
12,10
12,22
12,10
12,10
12,2
12,3
12,5
12,4
12,2
12,8
12,6
12,9
12,7
12,27
12,18
12,18
12,17
12,26
12,216
12,217
12,17
12,217
23,247
23,248
23,246
23,247
23,245
23,242
23,243
23,242
23,244
23,241
23,240
23,243
23,241
23,202
23,201
23,201
23,201
23,203
23,206
23,205
23,204
23,207
23,210
23,209
23,211
23,208
23,212
23,203
23,214
23,213
23,214
23,216
23,215
23,215
23,216
23,220
23,218
23,217
23,219
23,221
23,223
23,250
23,223
23,222
23,227
23,224
23,226
23,225
23,230
23,228
23,229
23,230
23,235
23,234
23,233
23,232
23,231
23,237
23,238
23,236
23,236
12,106
12,101
12,106
23,239
12,101
12,105
12,103
12,103
12,102
12,104
12,112
12,103
12,104
12,110
12,109
12,111
12,108
12,107
12,117
12,15
12,28
12,29
12,16
12,16
12,22
12,28
12,29
12,10
12,10
12,2
12,10
12,3
12,2
12,5
12,6
12,4
12,7
12,27
12,9
12,8
12,18
12,17
12,18
12,26
12,17
12,217
12,217
12,216
23,248
23,247
23,247
23,245
23,246
23,242
23,243
23,244
23,243
23,242
23,241
23,241
23,240
23,201
23,201
23,202
23,201
23,203
23,204
23,207
23,208
23,205
23,206
23,213
23,210
23,212
23,211
23,209
23,214
23,214
23,215
23,203
23,217
23,215
23,218
23,216
23,216
23,220
23,219
23,221
23,222
23,225
23,250
23,224
23,223
23,223
23,226
23,227
23,228
23,229
23,231
23,233
23,230
23,230
23,232
23,234
23,236
23,235
23,236
23,239
23,237
23,238
12,101
12,106
12,106
12,101
12,105
12,102
12,103
12,103
12,103
12,104
12,104
12,110
12,112
12,111
12,107
12,117
12,108
12,109
12,15
12,28
12,28
12,29
12,15
12,10
12,16
12,29
12,16
12,22
12,10
12,2
12,10
12,2
12,5
12,4
12,3
12,6
12,9
12,26
12,27
12,7
12,8
12,18
12,18
12,17
12,17
23,248
12,217
12,216
12,217
23,246
23,244
23,247
23,245
23,247
23,242
23,242
23,243
23,243
23,201
23,241
23,240
23,241
23,201
23,204
23,202
23,201
23,203
23,208
23,205
23,206
23,209
23,207
23,211
23,212
23,210
23,213
23,215
23,214
23,203
23,214
23,215
23,218
23,217
23,216
23,216
23,219
23,220
23,223
23,222
23,221
23,250
23,224
23,223
23,225
23,230
23,226
23,227
23,228
23,229
23,232
23,233
23,231
23,230
23,234
23,235
23,236
23,237
23,236
23,239
12,106
12,101
23,238
12,105
12,101
12,102
12,106
12,104
12,104
12,103
12,103
12,103
12,110
12,109
12,112
12,111
12,15
12,108
12,117
12,15
12,107
12,16
12,29
12,29
12,28
12,10
12,16
12,22
12,10
12,10
12,3
12,2
12,4
12,2
12,7
12,6
12,5
12,9
12,8
12,27
12,18
12,18
12,26
12,217
12,17
12,217
12,216
12,17
23,247
23,245
23,246
23,248
23,247
23,242
23,244
23,242
23,243
23,241
23,241
23,243
23,201
23,240
23,202
23,201
23,201
23,203
23,206
23,208
23,204
23,205
23,207
23,209
23,212
23,211
23,210
23,214
23,203
23,214
23,213
23,215
23,216
23,217
23,216
23,215
23,220
23,221
23,218
23,222
23,219
23,225
23,223
23,250
23,223
23,227
23,224
23,228
23,226
23,230
23,232
23,231
23,230
23,229
23,236
23,233
23,235
23,234
23,236
23,239
23,237
23,238
12,101
12,106
12,106
12,102
12,101
12,103
12,105
12,103
12,103
12,104
12,111
12,110
12,112
12,104
12,109
12,108
12,117
12,107
12,29
12,29
12,28
12,15
12,15
12,22
12,16
12,16
12,10
12,10
12,10
12,3
12,2
12,2
12,6
12,4
12,5
12,7
12,18
12,26
12,8
12,9
12,27
12,17
12,17
12,18
12,216
23,247
12,217
23,247
23,248
12,217
23,245
23,243
23,246
23,244
23,243
23,241
23,241
23,242
23,242
23,201
23,201
23,202
23,240
23,204
23,201
23,203
23,205
23,206
23,207
23,209
23,210
23,208
23,212
23,214
23,211
23,213
23,215
23,216
23,214
23,203
23,215
23,217
23,216
23,218
23,219
23,222
23,223
23,223
23,221
23,220
23,250
23,224
23,225
23,226
23,228
23,230
23,227
23,230
23,229
23,232
23,231
23,233
23,234
23,235
23,237
23,236
23,236
23,238
23,239
24,202
24,201
24,203
24,205
24,207
24,204
24,206
24,208
24,212
24,209
24,210
24,211
24,215
24,217
24,213
24,216
24,214
24,218
24,202
24,219
24,201
24,204
24,207
24,203
24,205
24,206
24,209
24,211
24,210
24,208
24,216
24,215
24,212
24,214
24,213
24,217
24,218
24,220
24,219
24,201
24,203
24,202
24,204
24,205
24,209
24,206
24,208
24,207
24,214
24,213
24,210
24,212
24,211
24,216
24,217
24,215
24,218
24,201
24,219
24,203
24,202
24,220
24,206
24,207
24,205
24,204
24,212
24,209
24,208
24,210
24,211
24,216
24,215
24,214
24,213
24,217
24,218
24,202
24,201
24,219
24,205
24,203
24,206
24,204
24,211
24,208
24,210
24,209
24,207
24,212
24,214
24,213
24,215
24,217
24,219
24,201
24,216
24,218
24,202
24,204
24,205
24,203
24,206
24,208
24,210
24,207
24,209
24,211
24,215
24,213
24,212
24,214
24,216
24,217
24,219
24,218
24,201
24,204
24,202
24,203
24,205
24,207
24,206
24,208
24,209
24,212
24,211
24,213
24,210
24,217
24,214
24,218
24,216
24,215
24,203
24,202
24,219
24,201
24,204
24,206
24,205
24,208
24,207
24,210
24,209
24,211
24,212
24,213
24,215
24,214
24,216
24,218
24,219
24,201
24,217
24,206
24,203
24,205
24,202
24,204
24,207
24,208
24,210
24,209
24,211
24,214
24,215
24,212
24,213
24,201
24,217
24,218
24,216
24,219
24,204
24,202
24,203
24,205
24,207
24,208
24,209
24,210
24,206
24,214
24,211
24,213
24,212
24,216
24,218
24,219
24,217
24,215
12,2
12,3
12,2
12,3
12,6
12,5
12,4
12,4
